P1,P2,P3,P4,P5,P6,P7,P8
1622-3Cx1613-3,11B,Plant#5,,LXY_6,A01,1622-3Cx1613-3-11B-Plant#5,1622-3Cx1613-3-11B-Plant#5
1622-3Cx1613-3,11B,Plant#6,,LXY_6,B01,1622-3Cx1613-3-11B-Plant#6,1622-3Cx1613-3-11B-Plant#6
1622-3Cx1613-3,11B,Plant#4,,LXY_6,C01,1622-3Cx1613-3-11B-Plant#4,1622-3Cx1613-3-11B-Plant#4
1613-3x1622-3C,11A,Plant#4,,LXY_6,D01,1613-3x1622-3C-11A-Plant#4,1613-3x1622-3C-11A-Plant#4
1622-29Bx1613-29,212B,Plant#3,,LXY_6,E01,1622-29Bx1613-29-212B-Plant#3,1622-29Bx1613-29-212B-Plant#3
1622-2Ex1613-2,5B,Plant#4,,LXY_6,F01,1622-2Ex1613-2-5B-Plant#4,1622-2Ex1613-2-5B-Plant#4
1622-26Ix1613-26,200B,,,LXY_6,G01,1622-26Ix1613-26-200B-,1622-26Ix1613-26-200B-
1613-11x1622-11F,86A,Plant#11,,LXY_6,H01,1613-11x1622-11F-86A-Plant#11,1613-11x1622-11F-86A-Plant#11
1613-6x1622-6L,47A,Plant#11,,LXY_6,A02,1613-6x1622-6L-47A-Plant#11,1613-6x1622-6L-47A-Plant#11
1622-9Kx1613-9,74B,Plant#12,,LXY_6,B02,1622-9Kx1613-9-74B-Plant#12,1622-9Kx1613-9-74B-Plant#12
1622-5Ex1613-5,31B,Plant#2,,LXY_6,C02,1622-5Ex1613-5-31B-Plant#2,1622-5Ex1613-5-31B-Plant#2
1613-29x1622-29B,212A,Plant#2,,LXY_6,D02,1613-29x1622-29B-212A-Plant#2,1613-29x1622-29B-212A-Plant#2
1622-29Bx1613-29,212B,Plant#2,,LXY_6,E02,1622-29Bx1613-29-212B-Plant#2,1622-29Bx1613-29-212B-Plant#2
1622-10Cx1613-10,76B,Plant#9,,LXY_6,F02,1622-10Cx1613-10-76B-Plant#9,1622-10Cx1613-10-76B-Plant#9
1622-19Jx1613-19,153B,Plant#2,,LXY_6,G02,1622-19Jx1613-19-153B-Plant#2,1622-19Jx1613-19-153B-Plant#2
1622-3Bx1613-3,10B,Plant#1,,LXY_6,H02,1622-3Bx1613-3-10B-Plant#1,1622-3Bx1613-3-10B-Plant#1
1613-5x1622-5F,32A,Plant#2,,LXY_6,A03,1613-5x1622-5F-32A-Plant#2,1613-5x1622-5F-32A-Plant#2
