general-projectname,general-readlength,general-runname,general-samplename,subsample-rawreads,subsample-subsampledreads,fastqc-meanreadqualityR1,fastqc-pct-adapter,fastqc-pct-deduplicated,fastqc-pct-dimer,fastqc-pct-gc,fastqc-sequencelength,fastqc-totalsequences,fastqspeciesscreen-pct-Adapters,fastqspeciesscreen-pct-Chloroplast,fastqspeciesscreen-pct-Mitochondria,fastqspeciesscreen-pct-NoHit,fastqspeciesscreen-pct-PhiX,fastqspeciesscreen-pct-Vectors,fastqspeciesscreen-pct-ecoli,fastqspeciesscreen-pct-human,fastqspeciesscreen-pct-mouse,fastqspeciesscreen-pct-rRNA,fastp
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,1,3287972,3287972,36.1,0.34,42.04,0.15,42,101,2000000,0,20.32,0,76.57,0,0,0,0.02,0.16,2.93,2974544
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,100,5303933,5303933,34.4,0.18,56.62,0.14,40,101,2000000,0,11.07,0,85.19,0,0,0,0.08,0.03,3.63,5300338
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,100A,2975486,2975486,36,0.13,47.1,0.07,41,101,2000000,0,8.52,0,89.06,0,0,0,0.17,0.08,2.17,3515349
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,101A,3517141,3517141,35,0.16,51.25,0.11,41,101,2000000,0,5.35,0,91.99,0,0,0,0.04,0.12,2.5,2663493
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,102A,2664465,2664465,36,0.16,48.5,0.08,41,101,2000000,0,8.66,0,89,0.01,0,0,0.01,0.14,2.18,3177766
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,103A,3179029,3179029,35.6,0.16,48.14,0.07,41,101,2000000,0,14.89,0,82.35,0,0,0,0.19,0.05,2.52,4541814
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,104,4543759,4543759,35.8,0.15,53.48,0.08,40,101,2000000,0,10.12,0,86.61,0,0,0,0.09,0.04,3.14,3973954
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,107,3981169,3981169,36,0.28,51.07,0.16,41,101,2000000,0,14.43,0,82.3,0,0,0,0.11,0.06,3.1,5383653
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,108,5386289,5386289,33.9,0.01,56.13,0,40,101,2000000,0,12.7,0,83.7,0,0,0,0.12,0.04,3.44,4111678
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,10A,4113672,4113672,35.2,0.19,48.45,0.11,41,101,2000000,0.02,12.12,0,84.74,0,0,0,0.1,0.02,3,4879011
