Trait,acc_num,predicted.values,standard.errors,weights
may_20,1,0.667,0.12,63.57012815
may_20,4,0.705,0.119,63.84721322
may_20,5,0.745,0.12,64.25023319
may_20,6,0.317,0.147,43.25121938
may_20,7,0.476,0.119,63.34403626
may_20,9,0.714,0.119,64.45365841
may_20,12,0.592,0.12,63.75341356
may_20,13,0.49,0.12,63.42684455
may_20,14,0.656,0.12,63.92578206
may_20,15,0.688,0.119,65.17514439
may_20,16,0.591,0.12,64.00377126
may_20,17,0.527,0.119,64.83873713
may_20,18,1.193,0.119,64.13450529
may_20,19,0.686,0.119,65.67448195
may_20,20,0.678,0.119,65.4817658
may_20,22,0.576,0.12,66.85998835
may_20,23,0.677,0.119,65.61553255
may_20,24,1.035,0.119,66.53636665
may_20,25,0.39,0.119,66.07116403
may_20,26,0.432,0.119,63.74004499
may_20,27,0.54,0.119,64.51806827
may_20,28,0.473,0.119,64.39303748
may_20,29,0.373,0.119,65.64186713
may_20,30,0.606,0.119,63.67747522
may_20,32,0.607,0.119,65.1865592
may_20,33,0.475,0.12,65.96321241
may_20,34,0.47,0.119,65.25646963
may_20,36,0.799,0.119,64.20104244
may_20,37,0.582,0.119,65.0658294
may_20,40,0.449,0.12,65.8749197
may_20,41,0.639,0.119,65.0042863
may_20,42,0.514,0.119,65.88625241
may_20,44,0.638,0.119,65.12811979
may_20,46,0.754,0.119,64.60102119
may_20,47,0.62,0.119,65.94995824
may_20,48,0.514,0.119,65.16693855
may_20,49,0.563,0.119,65.51442047
may_20,50,0.702,0.119,66.11706608
may_20,51,0.692,0.119,63.86192231
may_20,52,0.519,0.119,64.19290522
may_20,53,0.715,0.12,64.66250196
may_20,54,0.55,0.12,63.67515501
may_20,55,0.572,0.119,64.63842414
may_20,56,0.655,0.12,64.16720606
may_20,57,0.688,0.119,65.45692099
may_20,59,0.401,0.119,65.75157929
may_20,60,0.451,0.146,44.41577639
may_20,62,0.586,0.119,63.24801521
may_20,63,0.973,0.119,63.38570374
may_20,64,0.728,0.119,65.59530118
may_20,65,0.765,0.119,65.15415173
may_20,66,0.556,0.119,65.8862604
may_20,67,0.63,0.119,66.37315085
may_20,68,0.863,0.207,22.80301257
may_20,69,0.53,0.119,65.62332537
may_20,70,0.76,0.119,65.82229108
may_20,72,0.553,0.119,65.25506329
may_20,74,0.663,0.12,63.73263843
may_20,76,1.411,0.207,22.62813624
may_20,77,0.558,0.119,64.92919584
may_20,79,0.465,0.119,64.78312359
may_20,81,0.645,0.119,64.60510406
may_20,82,0.691,0.119,64.10261979
may_20,83,0.834,0.119,65.64926221
may_20,85,0.581,0.12,62.92948358
may_20,87,0.729,0.119,65.63938908
may_20,88,0.646,0.119,65.00563242
may_20,89,0.318,0.119,65.46720884
may_20,90,0.456,0.119,65.71564941
may_20,92,0.653,0.119,65.92957358
may_20,93,0.574,0.119,65.11548632
may_20,94,0.616,0.12,65.19447554
may_20,95,0.606,0.119,65.41322217
may_20,96,0.689,0.119,66.1185729
may_20,97,0.543,0.119,64.93895733
may_20,98,0.706,0.119,65.82251878
may_20,100,0.573,0.119,63.28108363
may_20,101,0.658,0.12,62.07140977
may_20,104,0.634,0.119,63.53841394
may_20,107,0.633,0.119,63.64320146
may_20,108,0.749,0.119,65.42154091
may_20,111,0.744,0.119,64.66659089
may_20,112,0.518,0.119,62.89347048
may_20,113,0.604,0.12,65.35690859
may_20,115,0.778,0.119,64.95947997
may_20,116,0.772,0.119,65.7001499
may_20,117,0.781,0.119,65.00695563
may_20,118,0.479,0.119,65.05485211
may_20,119,0.73,0.119,66.2437184
may_20,120,0.585,0.119,64.81973302
may_20,121,0.895,0.119,65.2234141
may_20,123,0.648,0.119,64.40469635
may_20,124,0.638,0.119,63.91159995
may_20,125,0.6,0.119,65.13045523
may_20,126,0.806,0.119,65.38495229
may_20,128,0.731,0.119,63.57301041
may_20,129,0.544,0.119,64.17191537
may_20,130,0.582,0.119,64.70781288
may_20,131,0.566,0.119,63.24291368
may_20,133,0.588,0.119,63.97123223
may_20,134,0.65,0.119,64.6852277
may_20,135,0.793,0.119,65.42076149
may_20,138,0.642,0.12,64.74649269
may_20,140,0.816,0.119,65.58170499
may_20,141,1.005,0.119,64.7389754
may_20,143,0.667,0.119,65.57265296
may_20,144,0.446,0.119,65.50037049
may_20,145,0.705,0.119,65.42851554
may_20,146,0.57,0.119,64.92793726
may_20,147,0.746,0.119,64.06434874
may_20,149,0.55,0.119,64.93862246
may_20,150,0.785,0.12,65.99242634
may_20,151,0.908,0.119,65.74821712
may_20,152,0.737,0.12,66.55463295
may_20,153,0.484,0.12,62.8022132
may_20,155,0.474,0.119,64.24577925
may_20,156,0.713,0.119,63.78551011
may_20,157,0.518,0.119,64.01459175
may_20,158,0.752,0.119,63.58654919
may_20,160,0.813,0.119,64.74364192
may_20,161,0.735,0.119,64.75322216
may_20,163,0.753,0.146,43.89313074
may_20,164,0.776,0.119,65.60370173
may_20,166,0.856,0.119,63.95697709
may_20,168,0.776,0.119,64.84394422
may_20,169,0.47,0.146,45.00329867
may_20,170,0.623,0.119,65.501539
may_20,172,0.432,0.119,65.52571589
may_20,173,0.682,0.119,66.21598181
may_20,175,0.49,0.119,66.12720603
may_20,176,0.524,0.119,65.63647435
may_20,178,0.745,0.119,65.911238
may_20,183,0.7,0.119,64.64166601
may_20,184,0.746,0.119,62.99759334
may_20,186,0.993,0.119,65.01442728
may_20,187,0.764,0.119,64.74888513
may_20,188,0.623,0.119,64.19590303
may_20,189,0.72,0.119,63.50281919
may_20,190,0.658,0.119,64.01171154
may_20,191,0.498,0.119,62.81148188
may_20,193,0.582,0.119,65.4060644
may_20,194,0.485,0.119,64.89165528
may_20,195,0.703,0.146,44.63794148
may_20,196,0.602,0.119,64.20147603
may_20,198,0.678,0.119,63.88116014
may_20,199,0.481,0.119,65.94539387
may_20,200,0.544,0.146,44.52762692
may_20,201,0.48,0.119,64.19200246
may_20,204,0.611,0.119,65.11107785
may_20,206,0.433,0.119,65.09895753
may_20,207,0.545,0.119,65.7168098
may_20,208,0.434,0.119,65.53220474
may_20,210,0.579,0.119,64.63343091
may_20,211,0.516,0.12,63.69235567
may_20,212,0.498,0.119,63.63863738
may_20,213,0.563,0.119,64.24729998
may_20,214,0.786,0.119,64.16825978
may_20,215,0.508,0.119,64.41200272
may_20,217,0.601,0.119,64.45370199
may_20,218,0.759,0.119,64.67734458
may_20,219,0.643,0.119,65.77502643
may_20,220,0.546,0.146,44.35542569
may_20,223,0.606,0.119,64.66979076
may_20,224,1.085,0.119,65.77147769
may_20,225,0.853,0.119,64.42365121
may_20,226,0.568,0.119,64.86787875
may_20,227,0.569,0.119,64.59957142
may_20,229,0.897,0.119,65.14780593
may_20,230,0.924,0.119,65.31790224
may_20,231,0.787,0.119,65.26059402
may_20,232,0.619,0.119,65.91786287
may_20,233,0.98,0.12,65.06297657
may_20,234,0.639,0.12,63.47932804
may_20,235,0.771,0.119,63.98158185
may_20,236,0.536,0.119,64.12187153
may_20,238,0.322,0.119,65.89711009
may_20,239,0.504,0.119,65.4471378
may_20,240,0.367,0.119,64.97810479
may_20,241,0.692,0.119,64.41488547
may_20,242,0.594,0.119,65.25540538
may_20,243,0.625,0.119,64.78069037
may_20,244,0.903,0.119,66.38902172
may_20,245,0.628,0.119,64.02743783
may_20,247,0.511,0.119,64.90706794
may_20,248,0.727,0.119,65.31069494
may_20,249,0.65,0.119,65.71228191
may_20,250,0.633,0.119,65.63280896
may_20,251,0.648,0.119,65.28831267
may_20,252,0.911,0.119,66.14563364
may_20,253,0.415,0.119,64.98516471
may_20,255,0.446,0.119,64.93610678
may_20,257,0.775,0.119,65.37713699
may_20,258,0.583,0.119,65.1057203
may_20,262,0.537,0.146,44.41676926
may_20,263,0.477,0.119,62.83156628
may_20,264,0.599,0.119,63.96240709
may_20,265,0.723,0.119,65.5448527
may_20,266,0.735,0.119,63.96266416
may_20,267,0.717,0.119,64.77195133
may_20,268,0.837,0.119,63.5204768
may_20,269,0.82,0.119,63.44899409
may_20,271,1.036,0.119,64.05845947
may_20,272,0.525,0.119,64.51977401
may_20,273,0.663,0.119,63.4717992
may_20,274,0.677,0.119,64.67936215
may_20,275,0.951,0.119,64.49916254
may_20,280,0.673,0.119,66.31552665
may_20,282,0.604,0.119,64.9872835
may_20,284,0.626,0.119,65.78749551
may_20,285,0.661,0.12,64.2240959
may_20,286,0.643,0.119,65.00903486
may_20,287,0.58,0.119,65.5074785
may_20,288,0.654,0.119,65.25601127
may_20,291,0.539,0.119,64.53777612
may_20,295,0.92,0.119,63.84847102
may_20,296,0.691,0.119,64.84698676
may_20,297,0.551,0.119,65.39854582
may_20,298,0.802,0.119,66.00800686
may_20,299,0.547,0.119,65.40318937
may_20,300,0.645,0.119,64.61204333
may_20,302,0.635,0.119,65.58575092
