,ST1_may_20,ST1_jun_20,ST1_jul_20,ST1_aug_20,ST1_sep_20,ST1_may_21,ST1_jun_21,ST1_jul_21,ST1_aug_21,ST1_sep_21,ST1_jun_22,ST1_jul_22,ST1_aug_22,ST1_sep_22,ST1_may_23,ST1_jun_23,ST1_jul_23,ST1_aug_23,ST1_total_20,ST1_total_21,ST1_total_22,ST2_may_20,ST2_jun_20,ST2_jul_20,ST2_aug_20,ST2_sep_20,ST2_may_21,ST2_jun_21,ST2_jul_21,ST2_aug_21,ST2_sep_21,ST2_jun_22,ST2_jul_22,ST2_aug_22,ST2_sep_22,ST2_may_23,ST2_jun_23,ST2_jul_23,ST2_aug_23,ST2_all_yield
ST1_may_20,1,0.540462706563837,0.455089499254342,0.370014054617269,0.374968542627247,0.310730813116171,0.477809954200315,0.397161809858789,0.407631965743411,0.281966850788851,0.3262264060649,0.441285687051115,0.318971581249506,0.423307380585155,0.320493202868751,0.27402983023525,0.295020804576894,0.216342335436428,0.714517662918688,0.473569976684604,0.416254964665619,0.638208492885202,0.63818298246027,0.638184381006226,0.63818298246027,0.636888729378335,0.638182982460271,0.63818298246027,0.63818298246027,0.63818298246027,0.638182982460271,0.611540369940896,0.63818298246027,0.638182982460271,0.63818298246027,0.638158504805043,0.63818298246027,0.63818298246027,0.63818298246027,0.636188675808063
ST1_jun_20,0.540462706563837,1,0.549977289484055,0.516096265292696,0.373486691259987,0.501385072933108,0.513126021946801,0.54416464127781,0.483605213321161,0.367183848817747,0.478785042815807,0.515831638432106,0.380795433236124,0.454132114866099,0.364425362776758,0.311295730959564,0.314251767362587,0.211412732059209,0.780988641980696,0.586707794674876,0.591376018986812,0.774831887214618,0.774829524633571,0.774831397230709,0.774829524633571,0.766568996354263,0.774829524633571,0.774829524633571,0.774829524633571,0.774829524633571,0.77482952463357,0.76207878345697,0.774829524633571,0.774829524633571,0.774829524633571,0.774793972988414,0.774829524633571,0.774829524633571,0.774829524633572,0.774738358896293
ST1_jul_20,0.455089499254342,0.549977289484055,1,0.470895587604968,0.426621704677112,0.355209090400003,0.426603957965031,0.460916868315073,0.390232899134635,0.295463915483997,0.439340705558827,0.414334814342599,0.308626416925352,0.378282534147187,0.31497984041853,0.272396779298185,0.271286659579188,0.233774039740914,0.767711574998687,0.489641323660152,0.472382663438432,0.663742749457022,0.663742668723523,0.663769890945168,0.663742668723523,0.668015924283609,0.663742668723523,0.663742668723522,0.663742668723523,0.663742668723524,0.663742668723523,0.659068587621834,0.663742668723523,0.663742668723523,0.663742668723523,0.663713939519903,0.663742668723523,0.663742668723524,0.663742668723523,0.664639746090352
ST1_aug_20,0.370014054617269,0.516096265292696,0.470895587604968,1,0.490157101506125,0.504351929389044,0.526191805782402,0.542838060687532,0.402472395483761,0.349916272013158,0.443274474855476,0.510081881921794,0.43094862014317,0.34242445518291,0.443814232670762,0.354864500889704,0.330326342491706,0.269749818956091,0.699262797630371,0.555174786745331,0.546627462221294,0.722466517160922,0.722469719939964,0.722469335199109,0.722469719939964,0.730492947186872,0.722469719939964,0.722469719939964,0.722469719939964,0.722469719939964,0.722469719939964,0.710361174087183,0.722469719939964,0.722469719939964,0.722469719939964,0.722461157401003,0.722469719939964,0.722469719939964,0.722469719939964,0.722626910612978
ST1_sep_20,0.374968542627247,0.373486691259987,0.426621704677112,0.490157101506125,1,0.228003053090037,0.374287063720397,0.364765110786937,0.296069750457647,0.294821128947091,0.450253976313705,0.33897815005361,0.300089156376407,0.274176381263617,0.209875106357701,0.162021587255201,0.188874050733694,0.299607349704665,0.609985273801306,0.38873594960827,0.453222406756952,0.550424862099696,0.550425007688115,0.550427784921322,0.550425007688115,0.629652196223988,0.550425007688115,0.550425007688115,0.550425007688115,0.550425007688115,0.550425007688115,0.566799909967648,0.550425007688115,0.550425007688115,0.550425007688115,0.550379216606104,0.550425007688115,0.550425007688115,0.550425007688116,0.554982294421417
ST1_may_21,0.310730813116171,0.501385072933108,0.355209090400003,0.504351929389044,0.228003053090037,1,0.570951593816203,0.575415746127131,0.501387888901721,0.433507709494812,0.402785663425864,0.49449085826523,0.366141740422052,0.411789682556965,0.443356951871166,0.30279294254215,0.245808061807203,0.166327039056047,0.473506325944889,0.815139327968201,0.564768686078366,0.679535237798379,0.679538404139356,0.679533894196759,0.679538404139355,0.658766437732646,0.679538404139355,0.679538404139356,0.679538404139355,0.679538404139355,0.679538404139355,0.659167341834993,0.679538404139355,0.679538404139355,0.679538404139355,0.679547713302418,0.679538404139355,0.679538404139355,0.679538404139355,0.67808410446244
ST1_jun_21,0.477809954200315,0.513126021946801,0.426603957965031,0.526191805782402,0.374287063720397,0.570951593816203,1,0.604709552249896,0.572297463785191,0.429889520913802,0.307363886968855,0.489817216174996,0.448999393179804,0.471165275962885,0.377510334893872,0.372693486689236,0.396539706793242,0.226547247346587,0.531761232327813,0.741385128989874,0.514399165453758,0.732236087402119,0.732236473209417,0.732233736350761,0.732236473209417,0.725209067761175,0.732236473209417,0.732236473209418,0.732236473209417,0.732236473209417,0.732236473209418,0.68319952948534,0.732236473209417,0.732236473209418,0.732236473209417,0.732211292605612,0.732236473209417,0.732236473209417,0.732236473209417,0.727545997132912
ST1_jul_21,0.397161809858789,0.54416464127781,0.460916868315073,0.542838060687532,0.364765110786937,0.575415746127131,0.604709552249896,1,0.624912749313467,0.439853735242852,0.358712675437658,0.519842499948485,0.400091388124258,0.490742894518262,0.432057323450558,0.408593920200467,0.408389838580603,0.227756801672394,0.578333900452806,0.791187019973944,0.502326584788132,0.775650628737501,0.775653973540945,0.775651049025702,0.775653973540945,0.764947556456389,0.775653973540946,0.775653973540946,0.775653973540946,0.775653973540946,0.775653973540946,0.731515542395102,0.775653973540946,0.775653973540945,0.775653973540946,0.77564107729353,0.775653973540946,0.775653973540945,0.775653973540945,0.771605578445898
ST1_aug_21,0.407631965743411,0.483605213321161,0.390232899134635,0.402472395483761,0.296069750457647,0.501387888901721,0.572297463785191,0.624912749313467,1,0.472091176376826,0.280748405809377,0.44895332147152,0.343653379982263,0.474582047805297,0.359642226846716,0.27188593668208,0.365146926410816,0.245072906107259,0.480319569066299,0.77214217234644,0.431940828228051,0.689129025703963,0.68913049365012,0.689127234206223,0.68913049365012,0.674818549525,0.68913049365012,0.68913049365012,0.68913049365012,0.68913049365012,0.68913049365012,0.642207416510337,0.68913049365012,0.68913049365012,0.68913049365012,0.689109845326227,0.68913049365012,0.68913049365012,0.68913049365012,0.684488752496974
ST1_sep_21,0.281966850788851,0.367183848817747,0.295463915483997,0.349916272013158,0.294821128947091,0.433507709494812,0.429889520913802,0.439853735242852,0.472091176376826,1,0.22332015600414,0.292824462934533,0.315597317291245,0.38437664938019,0.245917165752573,0.228168586284652,0.255600494681938,0.246364241916401,0.397592637401407,0.601602119602313,0.363104683495875,0.536154955070107,0.536157047242697,0.536154115283306,0.536157047242697,0.53464504583152,0.536157047242697,0.536157047242697,0.536157047242697,0.536157047242697,0.536157047242697,0.499187540804238,0.536157047242698,0.536157047242697,0.536157047242698,0.536129701397975,0.536157047242697,0.536157047242697,0.536157047242698,0.5326505803181
ST1_jun_22,0.3262264060649,0.478785042815807,0.439340705558827,0.443274474855476,0.450253976313705,0.402785663425864,0.307363886968855,0.358712675437658,0.280748405809377,0.22332015600414,1,0.508712641083122,0.43894811780348,0.341883139084761,0.386215195520402,0.291864388884124,0.167526183852287,0.246068224271477,0.535821048065943,0.446363783899503,0.804245734922461,0.611805908370383,0.6118089607946,0.611810474321416,0.611808960794601,0.620035352693613,0.611808960794601,0.611808960794601,0.6118089607946,0.611808960794601,0.611808960794601,0.75074543151693,0.611808960794601,0.611808960794601,0.611808960794601,0.61180869576838,0.611808960794601,0.611808960794601,0.611808960794601,0.630593917877041
ST1_jul_22,0.441285687051115,0.515831638432106,0.414334814342599,0.510081881921794,0.33897815005361,0.49449085826523,0.489817216174996,0.519842499948485,0.44895332147152,0.292824462934533,0.508712641083122,1,0.658804791024311,0.530511157873899,0.568636811185645,0.557236444492269,0.465023007561546,0.281679678620129,0.557743271056993,0.60387387174891,0.733627920332249,0.758915386765594,0.758917085851416,0.758912329557238,0.758917085851416,0.745197794982649,0.758917085851416,0.758917085851416,0.758917085851416,0.758917085851416,0.758917085851417,0.752854391973467,0.758917085851416,0.758917085851416,0.758917085851416,0.758943134783228,0.758917085851416,0.758917085851416,0.758917085851415,0.759539491252996
ST1_aug_22,0.318971581249506,0.380795433236124,0.308626416925352,0.43094862014317,0.300089156376407,0.366141740422052,0.448999393179804,0.400091388124258,0.343653379982263,0.315597317291245,0.43894811780348,0.658804791024311,1,0.493469656725812,0.415632998193568,0.500168550551205,0.43430628025525,0.249834232980134,0.40706950020355,0.460445266270218,0.688896897905076,0.620347468964115,0.620351282037175,0.620346142180436,0.620351282037175,0.611540048063017,0.620351282037174,0.620351282037175,0.620351282037175,0.620351282037174,0.620351282037175,0.620597640454681,0.620351282037174,0.620351282037175,0.620351282037175,0.620357573048802,0.620351282037174,0.620351282037174,0.620351282037174,0.621548725022417
ST1_sep_22,0.423307380585155,0.454132114866099,0.378282534147187,0.34242445518291,0.274176381263617,0.411789682556965,0.471165275962885,0.490742894518262,0.474582047805297,0.38437664938019,0.341883139084761,0.530511157873899,0.493469656725812,1,0.440665214393484,0.488090639361822,0.491160265186265,0.224004636738908,0.469192424758194,0.566787816686478,0.634087793422367,0.695660327789396,0.695661219099306,0.695657193870928,0.695661219099306,0.679303200487486,0.695661219099306,0.695661219099306,0.695661219099306,0.695661219099306,0.695661219099306,0.662562957712255,0.695661219099306,0.695661219099306,0.695661219099306,0.695661458584355,0.695661219099306,0.695661219099306,0.695661219099306,0.692726586781164
ST1_may_23,0.320493202868751,0.364425362776758,0.31497984041853,0.443814232670762,0.209875106357701,0.443356951871166,0.377510334893872,0.432057323450558,0.359642226846716,0.245917165752573,0.386215195520402,0.568636811185645,0.415632998193568,0.440665214393484,1,0.499761042874575,0.434184836555075,0.247817701786467,0.422001263337108,0.487649001966496,0.49378088806346,0.628545079185961,0.62854958725168,0.628544314319801,0.628549587251679,0.608772316164569,0.628549587251679,0.62854958725168,0.62854958725168,0.628549587251679,0.62854958725168,0.618290995093142,0.62854958725168,0.62854958725168,0.628549587251679,0.628724331277723,0.62854958725168,0.62854958725168,0.628549587251679,0.628282569958512
ST1_jun_23,0.27402983023525,0.311295730959564,0.272396779298185,0.354864500889704,0.162021587255201,0.30279294254215,0.372693486689236,0.408593920200467,0.27188593668208,0.228168586284652,0.291864388884124,0.557236444492269,0.500168550551205,0.488090639361822,0.499761042874575,1,0.534370796214968,0.223993943963935,0.352711465526255,0.383074342542689,0.460889840470957,0.55921523851317,0.559219283229069,0.55921422420612,0.559219283229069,0.538839314947291,0.559219283229069,0.559219283229069,0.559219283229069,0.559219283229069,0.55921928322907,0.535288793324115,0.559219283229069,0.559219283229069,0.559219283229069,0.55925906642381,0.559219283229069,0.559219283229069,0.559219283229068,0.557074751953479
ST1_jul_23,0.295020804576894,0.314251767362587,0.271286659579188,0.330326342491706,0.188874050733694,0.245808061807203,0.396539706793242,0.408389838580603,0.365146926410816,0.255600494681938,0.167526183852287,0.465023007561546,0.43430628025525,0.491160265186265,0.434184836555075,0.534370796214968,1,0.332746821807,0.345141539350739,0.411344413421285,0.357642735682785,0.550125235978258,0.550128752526134,0.55012435545964,0.550128752526134,0.533415805237617,0.550128752526134,0.550128752526133,0.550128752526134,0.550128752526134,0.550128752526135,0.502097374706164,0.550128752526134,0.550128752526135,0.550128752526134,0.550154880462108,0.550128752526134,0.550128752526135,0.550128752526133,0.545017069393244
ST1_aug_23,0.216342335436428,0.211412732059209,0.233774039740914,0.269749818956091,0.299607349704665,0.166327039056047,0.226547247346587,0.227756801672394,0.245072906107259,0.246364241916401,0.246068224271477,0.281679678620129,0.249834232980134,0.224004636738908,0.247817701786467,0.223993943963935,0.332746821807,1,0.320864534795521,0.284810727375694,0.276828214793446,0.379002179660939,0.379004627869742,0.379003877529134,0.379004627869742,0.388382414744064,0.379004627869742,0.379004627869741,0.379004627869742,0.379004627869742,0.379004627869742,0.379371142106225,0.379004627869742,0.379004627869742,0.379004627869742,0.379004714273519,0.379004627869742,0.379004627869742,0.379004627869742,0.380014273362441
ST1_total_20,0.714517662918688,0.780988641980696,0.767711574998687,0.699262797630371,0.609985273801306,0.473506325944889,0.531761232327813,0.578333900452806,0.480319569066299,0.397592637401407,0.535821048065943,0.557743271056993,0.40706950020355,0.469192424758194,0.422001263337108,0.352711465526255,0.345141539350739,0.320864534795521,1,0.606571991112156,0.619496819279799,0.840046066653522,0.840038188021079,0.840048050978998,0.840038188021079,0.853385761426709,0.840038188021079,0.840038188021079,0.840038188021079,0.840038188021079,0.840038188021079,0.829610431065842,0.840038188021079,0.840038188021079,0.840038188021079,0.840004704035358,0.840038188021079,0.840038188021079,0.840038188021079,0.840744490259168
