Plant_ID,static_ST1,g_ST1,static_ST2,g_ST2,,,,
513,1383.257981,222.4348623,326.2545143,224.0087006,,,,
528,3026.311114,230.0452969,1432.297402,228.8089365,,,,
492,3325.028597,240.0186308,1405.411176,238.8253047,,,,
512,3418.002874,233.8944594,1940.901327,228.5369222,,,,
79,3419.323302,227.6744415,2363.113143,227.6095283,,,,
389,3624.50538,199.5453843,1009.659263,198.2981216,,,,
380,3745.652159,207.0960387,1363.991972,206.5452598,,,,
4,3774.070182,282.0994143,2204.821681,280.0508397,,,,
330,3824.937794,226.3776888,1965.16277,224.6379894,,,,
461,3876.226237,220.443792,1480.900148,218.5586405,,,,
89,3902.918949,189.761684,1273.521054,187.1799178,,,,
27,3935.712772,244.0737961,2170.125639,242.1621326,,,,
131,3955.157896,236.8821304,1887.726198,235.6110526,,,,
17,4036.456369,253.9486384,1089.753821,252.2763396,,,,
172,4056.632421,208.4124601,1296.369001,206.5222492,,,,
48,4070.450543,258.9566993,2102.031746,257.3581884,,,,
236,4106.460511,237.7406108,2099.919485,233.8954596,,,,
504,4108.037986,239.4282968,1978.897099,239.6918297,,,,
502,4195.162038,268.0182212,2116.704579,267.033802,,,,
74,4209.761195,257.7800487,2159.212724,257.1357678,,,,
255,4277.511438,214.9271003,2351.50779,213.7080606,,,,
211,4305.585683,255.020135,2666.216791,253.3087511,,,,
487,4314.70592,202.6680348,1596.121296,197.798955,,,,
311,4348.258833,259.4087504,1853.137591,253.4867255,,,,
253,4349.949111,227.9694546,1621.550212,223.650773,,,,
194,4371.626196,260.246006,1746.180042,257.7105483,,,,
62,4373.593147,267.330288,1827.506548,265.902512,,,,
241,4419.111944,245.2996209,2066.471725,242.2393572,,,,
176,4420.387589,221.4016853,1364.276982,218.2246791,,,,
451,4453.721039,263.772348,2333.666346,261.3598566,,,,
575,4458.342714,227.9165699,959.2581546,227.9061183,,,,
435,4507.909343,259.5372546,1797.366889,259.2303516,,,,
25,4512.795763,213.3186114,1727.97451,210.382837,,,,
315,4535.443042,248.0393799,1460.499197,244.382281,,,,
217,4543.417379,266.2893514,1806.335273,262.9274226,,,,
215,4551.235794,238.4097139,2313.606864,237.9272789,,,,
64,4556.117855,272.1022265,2267.404342,270.7976942,,,,
82,4560.480643,263.7304193,2363.681236,263.2265337,,,,
238,4570.569166,230.4929496,1417.186677,226.2011856,,,,
263,4588.239238,231.3425716,1454.172619,227.0873901,,,,
7,4599.361699,253.1614471,2282.608684,252.9555313,,,,
206,4609.173468,238.5350169,2347.518978,237.0230776,,,,
360,4615.351404,230.4065701,1923.038967,227.6085968,,,,
