gen,may_20,jun_20,jul_20,aug_20,sep_20,may_21,jun_21,jul_21,aug_21,sep_21,jun_22,jul_22,aug_22,sep_22,may_23,jun_23,jul_23,aug_23
1,0.667,0.634,0.426,0.43,0.11,0.395,0.106,0.254,0.155,0.047,0.7,0.417,0.123,0.239,0.848,0.271,0.254,0.058
4,0.705,0.639,0.436,0.434,0.14,0.477,0.182,0.308,0.317,0.097,0.562,0.387,0.157,0.359,0.561,0.331,0.326,0.211
5,0.745,0.486,0.459,0.391,0.175,0.455,0.169,0.34,0.32,0.057,0.732,0.264,0.06,0.51,0.54,0.28,0.227,0.191
6,0.317,0.48,0.509,0.458,0.102,0.529,0.154,0.371,0.448,0.029,0.641,0.486,0.196,0.484,0.407,0.191,0.324,0.167
7,0.476,0.621,0.563,0.339,0.131,0.356,0.151,0.336,0.283,0.077,0.31,0.272,0.185,0.302,0.724,0.259,0.24,0.096
9,0.714,0.683,0.721,0.589,0.114,0.495,0.13,0.376,0.435,0.055,0.872,0.332,0.113,0.464,0.698,0.229,0.263,0.138
12,0.592,0.533,0.427,0.45,0.122,0.322,0.151,0.283,0.255,0.073,0.488,0.319,0.15,0.391,0.717,0.208,0.28,0.138
13,0.49,0.436,0.527,0.468,0.087,0.329,0.122,0.278,0.31,0.08,0.574,0.287,0.238,0.397,0.709,0.308,0.275,0.232
14,0.656,0.618,0.546,0.577,0.085,0.499,0.131,0.299,0.292,0.085,0.517,0.549,0.221,0.461,0.858,0.485,0.406,0.14
15,0.688,0.566,0.436,0.353,0.079,0.368,0.088,0.221,0.254,0.075,0.534,0.298,0.175,0.356,0.599,0.209,0.238,0.115
16,0.591,0.753,0.816,0.64,0.181,0.641,0.167,0.336,0.373,0.135,0.684,0.385,0.258,0.645,0.853,0.343,0.346,0.372
17,0.527,0.499,0.486,0.352,0.142,0.412,0.134,0.257,0.313,0.119,0.514,0.134,0.174,0.323,0.324,0.473,0.139,0.105
18,1.193,1.444,1.062,0.621,0.327,0.452,0.255,0.452,0.518,0.205,1.488,0.407,0.161,0.953,0.57,0.237,0.348,0.201
19,0.686,0.642,0.556,0.452,0.114,0.575,0.143,0.201,0.308,0.082,0.436,0.312,0.158,0.233,0.585,0.154,0.214,0.088
20,0.678,0.618,0.647,0.358,0.099,0.395,0.13,0.253,0.331,0.083,0.753,0.305,0.151,0.361,0.715,0.19,0.268,0.097
22,0.576,0.68,0.374,0.357,0.079,0.436,0.092,0.195,0.215,0.132,0.57,0.318,0.209,0.331,0.556,0.185,0.173,0.083
23,0.677,0.366,0.34,0.423,0.17,0.352,0.122,0.264,0.183,0.149,0.774,0.182,0.19,0.393,0.328,0.144,0.156,0.169
24,1.035,0.583,0.56,0.326,0.134,0.327,0.124,0.249,0.352,0.072,1.331,0.491,0.083,0.318,NA,0.216,0.074,0.252
25,0.39,0.493,0.322,0.314,0.078,0.232,0.078,0.145,0.159,0.046,0.425,0.232,0.054,0.107,0.376,0.147,0.09,0.061
26,0.432,0.485,0.29,0.288,0.061,0.296,0.077,0.18,0.218,0.051,1.002,0.191,0.121,0.116,0.306,0.114,0.137,0.068
27,0.54,0.526,0.379,0.31,0.108,0.31,0.155,0.208,0.22,0.097,0.434,0.239,0.121,0.302,0.605,0.312,0.247,0.084
28,0.473,0.506,0.439,0.322,0.118,0.325,0.126,0.19,0.189,0.026,0.509,0.171,0.09,0.202,0.38,0.162,0.188,0.121
29,0.373,0.527,0.457,0.287,0.104,0.266,0.065,0.174,0.277,0.011,0.446,0.283,0.134,0.157,0.568,0.081,0.121,0.133
30,0.606,0.495,0.412,0.387,0.06,0.313,0.094,0.14,0.214,0.047,0.464,0.258,0.144,0.172,0.581,0.158,0.116,0.15
32,0.607,0.485,0.559,0.436,0.093,0.426,0.144,0.295,0.257,0.097,0.462,0.354,0.208,0.308,0.637,0.196,0.241,0.18
33,0.475,0.536,0.352,0.318,0.073,0.321,0.095,0.222,0.222,0.029,0.448,0.266,0.091,0.233,1.072,0.271,0.224,0.08
34,0.47,0.601,0.54,0.331,0.113,0.366,0.089,0.189,0.214,0.092,0.933,0.285,0.16,0.263,0.707,0.182,0.143,0.096
36,0.799,0.572,0.49,0.385,0.089,0.298,0.111,0.183,0.157,0.013,0.679,0.487,0.133,0.298,0.545,0.278,0.19,0.161
37,0.582,0.593,0.542,0.36,0.095,0.378,0.15,0.236,0.396,0.112,0.56,0.315,0.168,0.338,0.741,0.273,0.197,0.175
40,0.449,0.611,0.357,0.306,0.101,0.311,0.1,0.189,0.208,0.062,0.748,0.188,0.16,0.278,0.39,0.167,0.091,0.146
41,0.639,0.404,0.439,0.484,0.18,0.589,0.152,0.277,0.366,0.094,0.741,0.366,0.214,0.318,0.662,0.305,0.186,0.132
42,0.514,0.53,0.393,0.286,0.072,0.28,0.102,0.214,0.186,0.023,0.548,0.271,0.101,0.267,0.541,0.207,0.083,0.06
44,0.638,0.537,0.517,0.444,0.119,0.427,0.126,0.242,0.319,0.057,0.735,0.348,0.21,0.587,0.811,0.258,0.254,0.109
46,0.754,0.793,0.581,0.553,0.101,0.42,0.232,0.341,0.355,0.067,0.474,0.473,NA,0.454,0.733,0.231,0.272,0.19
47,0.62,0.615,0.377,0.436,0.077,0.411,0.094,0.261,0.255,0.08,0.648,0.254,0.175,0.269,0.629,0.225,0.172,0.103
48,0.514,0.518,0.52,0.422,0.131,0.447,0.155,0.261,0.244,0.105,0.432,0.214,0.233,0.242,0.642,0.254,0.122,0.146
49,0.563,0.767,0.386,0.465,0.102,0.427,0.121,0.269,0.31,0.068,0.545,0.327,0.178,0.275,0.691,0.207,0.15,0.121
50,0.702,0.836,0.46,0.419,0.21,0.534,0.201,0.268,0.294,0.081,0.941,0.332,0.183,0.365,0.875,0.338,0.324,0.223
51,0.692,0.654,0.416,0.358,0.07,0.463,0.161,0.297,0.246,0.092,0.577,0.496,0.32,0.5,0.785,0.392,0.315,0.128
52,0.519,0.573,0.54,0.336,0.117,0.343,0.17,0.289,0.222,0.067,0.655,0.302,0.18,0.382,0.736,0.191,0.151,0.106
53,0.715,0.701,0.466,0.38,0.134,0.507,0.184,0.304,0.282,0.052,0.359,0.568,0.276,0.359,0.608,0.287,0.187,0.088
54,0.55,0.613,0.274,0.444,0.087,0.492,0.155,0.286,0.345,0.038,0.426,0.428,0.248,0.315,0.668,0.348,0.218,0.122
55,0.572,0.638,0.479,0.296,0.111,0.29,0.13,0.147,0.177,0.041,0.615,0.3,0.154,0.3,0.589,0.169,0.078,0.12
56,0.655,0.714,0.228,0.424,0.127,0.43,0.207,0.168,0.349,0.116,0.437,0.381,0.207,0.335,0.713,0.165,0.193,0.158
57,0.688,0.75,0.359,0.309,0.067,0.474,0.173,0.303,0.353,0.114,0.652,0.468,0.189,0.458,0.804,0.292,0.268,0.112
59,0.401,0.595,0.35,0.315,0.093,0.291,0.062,0.221,0.164,0.082,0.531,0.216,0.147,0.25,0.561,0.181,0.144,0.141
60,0.451,0.559,0.72,0.598,0.178,0.372,0.136,0.233,0.219,0.112,0.854,0.232,0.137,0.262,1.354,0.118,0.128,0.19
62,0.586,0.655,0.456,0.412,0.083,0.443,0.224,0.379,0.32,0.111,0.647,0.404,0.169,0.342,0.515,0.169,0.176,0.178
