Susceptible_parent1,DAPC1,DAPC2,DAPC3,kmeans1,kmeans2,kmeans3
1,1,NA,1,1,NA,1
2,13,2,1,13,2,1
3,17,3,NA,17,3,NA
4,11,1,NA,11,1,NA
5,18,2,2,18,2,2
6,11,2,4,11,2,4
7,7,2,1,7,2,1
8,3,NA,NA,3,NA,NA
9,7,NA,1,7,NA,1
10,12,4,2,9,4,5
11,11,1,1,11,1,1
12,1,NA,NA,1,NA,NA
13,15,NA,NA,15,NA,NA
14,9,2,2,9,2,2
15,1,31,NA,1,31,NA
16,2,1,9,2,1,9
17,13,1,2,13,1,2
18,1,NA,28,1,NA,28
19,17,1,NA,17,1,NA
20,15,NA,NA,15,NA,NA
21,6,2,5,5,2,6
22,18,6,NA,18,6,NA
23,16,1,1,14,1,3
25,2,NA,1,2,NA,1
26,22,6,3,22,6,3
28,7,1,3,7,1,3
29,6,NA,NA,6,NA,NA
30,17,1,1,17,1,1
31,4,NA,NA,4,NA,NA
32,2,1,NA,2,1,NA
