Cons,Plant_ID,Female,Male
1,1613-1,0,0
2,1613-2,0,0
3,1613-3,0,0
4,1613-4,0,0
5,1613-5,0,0
6,1613-6,0,0
7,1613-7,0,0
8,1613-8,0,0
9,1613-9,0,0
10,1613-10,0,0
11,1613-11,0,0
12,1613-12,0,0
13,1613-13,0,0
14,1613-14,0,0
15,1613-15,0,0
16,1613-16,0,0
17,1613-17,0,0
18,1613-18,0,0
19,1613-19,0,0
20,1613-20,0,0
21,1613-21,0,0
22,1613-22,0,0
23,1613-23,0,0
24,1613-25,0,0
25,1613-26,0,0
26,1613-28,0,0
27,1613-29,0,0
28,1613-30,0,0
29,1613-31,0,0
30,1613-32,0,0
31,1608-1,0,0
32,1608-2,0,0
33,1608-3,0,0
34,1608-4,0,0
35,1608-5,0,0
36,1608-6,0,0
37,1608-7,0,0
38,1608-8,0,0
39,1608-9,0,0
40,1608-10,0,0
41,1608-11,0,0
42,1608-12,0,0
43,1608-13,0,0
44,1608-14,0,0
45,1608-15,0,0
46,1608-16,0,0
47,1608-17,0,0
48,1608-18,0,0
49,1608-19,0,0
50,1608-20,0,0
51,1608-21,0,0
52,1608-22,0,0
53,1608-23,0,0
54,1608-24,0,0
55,1608-25,0,0
56,1608-26,0,0
57,1608-27,0,0
58,1608-28,0,0
59,1608-29,0,0
60,1608-30,0,0
61,1622-1A,1613-1,1608-1
62,1622-1B,1613-1,1608-1
63,1622-1C,1613-1,1608-1
64,1622-1D,1613-1,1608-1
65,1622-1E,1613-1,1608-1
66,1622-1F,1613-1,1608-1
67,1622-1G,1608-1,1613-1
68,1622-1H,1608-1,1613-1
69,1622-1I,1608-1,1613-1
70,1622-1J,1608-1,1613-1
71,1622-1K,1608-1,1613-1
72,1622-1L,1608-1,1613-1
73,1622-2A,1613-2,1608-2
74,1622-2B,1613-2,1608-2
75,1622-2C,1613-2,1608-2
76,1622-2D,1613-2,1608-2
77,1622-2E,1613-2,1608-2
78,1622-2F,1613-2,1608-2
79,1622-2G,1608-2,1613-2
80,1622-2H,1608-2,1613-2
81,1622-2I,1608-2,1613-2
82,1622-2J,1608-2,1613-2
83,1622-2K,1608-2,1613-2
84,1622-2L,1608-2,1613-2
85,1622-3A,1613-3,1608-3
86,1622-3B,1613-3,1608-3
87,1622-3C,1613-3,1608-3
88,1622-3D,1613-3,1608-3
89,1622-3E,1613-3,1608-3
90,1622-3F,1613-3,1608-3
91,1622-3G,1608-3,1613-3
92,1622-3H,1608-3,1613-3
93,1622-3I,1608-3,1613-3
94,1622-3J,1608-3,1613-3
95,1622-3K,1608-3,1613-3
96,1622-3L,1608-3,1613-3
97,1622-4A,1613-4,1608-4
98,1622-4B,1613-4,1608-4
99,1622-4C,1613-4,1608-4
100,1622-4D,1613-4,1608-4
101,1622-4E,1613-4,1608-4
102,1622-4F,1613-4,1608-4
103,1622-4G,1608-4,1613-4
104,1622-4H,1608-4,1613-4
105,1622-4I,1608-4,1613-4
106,1622-4J,1608-4,1613-4
107,1622-4K,1608-4,1613-4
108,1622-4L,1608-4,1613-4
109,1622-5A,1613-5,1608-5
110,1622-5B,1613-5,1608-5
111,1622-5C,1613-5,1608-5
112,1622-5D,1613-5,1608-5
113,1622-5E,1613-5,1608-5
114,1622-5F,1613-5,1608-5
115,1622-5G,1608-5,1613-5
116,1622-5H,1608-5,1613-5
117,1622-5I,1608-5,1613-5
118,1622-5J,1608-5,1613-5
119,1622-5K,1608-5,1613-5
120,1622-5L,1608-5,1613-5
121,1622-6A,1613-6,1608-6
122,1622-6B,1613-6,1608-6
123,1622-6C,1613-6,1608-6
124,1622-6D,1613-6,1608-6
125,1622-6E,1613-6,1608-6
126,1622-6F,1613-6,1608-6
127,1622-6G,1608-6,1613-6
128,1622-6H,1608-6,1613-6
129,1622-6I,1608-6,1613-6
130,1622-6J,1608-6,1613-6
131,1622-6K,1608-6,1613-6
132,1622-6L,1608-6,1613-6
133,1622-7A,1613-7,1608-7
134,1622-7B,1613-7,1608-7
135,1622-7C,1613-7,1608-7
136,1622-7D,1613-7,1608-7
137,1622-7E,1613-7,1608-7
138,1622-7F,1613-7,1608-7
139,1622-7G,1608-7,1613-7
140,1622-7H,1608-7,1613-7
141,1622-7I,1608-7,1613-7
142,1622-7J,1608-7,1613-7
143,1622-7K,1608-7,1613-7
144,1622-7L,1608-7,1613-7
145,1622-8A,1613-8,1608-8
146,1622-8B,1613-8,1608-8
147,1622-8C,1613-8,1608-8
148,1622-8D,1613-8,1608-8
149,1622-8E,1613-8,1608-8
150,1622-8F,1613-8,1608-8
151,1622-8G,1608-8,1613-8
152,1622-8H,1608-8,1613-8
153,1622-8I,1608-8,1613-8
154,1622-8J,1608-8,1613-8
155,1622-8K,1608-8,1613-8
156,1622-8L,1608-8,1613-8
157,1622-9A,1613-9,1608-9
158,1622-9B,1613-9,1608-9
159,1622-9C,1613-9,1608-9
160,1622-9D,1613-9,1608-9
161,1622-9E,1613-9,1608-9
162,1622-9F,1613-9,1608-9
163,1622-9G,1608-9,1613-9
164,1622-9H,1608-9,1613-9
165,1622-9I,1608-9,1613-9
166,1622-9J,1608-9,1613-9
167,1622-9K,1608-9,1613-9
168,1622-9L,1608-9,1613-9
169,1622-10A,1613-10,1608-10
170,1622-10B,1613-10,1608-10
171,1622-10C,1613-10,1608-10
172,1622-10D,1613-10,1608-10
173,1622-10E,1613-10,1608-10
174,1622-10F,1613-10,1608-10
175,1622-10G,1608-10,1613-10
176,1622-10H,1608-10,1613-10
177,1622-10I,1608-10,1613-10
178,1622-10J,1608-10,1613-10
179,1622-10K,1608-10,1613-10
180,1622-10L,1608-10,1613-10
181,1622-11A,1613-11,1608-11
182,1622-11B,1613-11,1608-11
183,1622-11C,1613-11,1608-11
184,1622-11D,1613-11,1608-11
185,1622-11E,1613-11,1608-11
186,1622-11F,1613-11,1608-11
187,1622-11G,1608-11,1613-11
188,1622-11H,1608-11,1613-11
189,1622-11I,1608-11,1613-11
190,1622-11J,1608-11,1613-11
191,1622-11K,1608-11,1613-11
192,1622-11L,1608-11,1613-11
193,1622-12A,1613-12,1608-12
194,1622-12B,1613-12,1608-12
195,1622-12C,1613-12,1608-12
196,1622-12D,1613-12,1608-12
197,1622-12E,1613-12,1608-12
198,1622-12F,1613-12,1608-12
199,1622-12G,1608-12,1613-12
200,1622-12H,1608-12,1613-12
201,1622-12I,1608-12,1613-12
202,1622-12J,1608-12,1613-12
203,1622-12K,1608-12,1613-12
204,1622-12L,1608-12,1613-12
205,1622-13A,1613-13,1608-13
206,1622-13B,1613-13,1608-13
207,1622-13C,1613-13,1608-13
208,1622-13D,1613-13,1608-13
209,1622-13E,1613-13,1608-13
210,1622-13F,1613-13,1608-13
211,1622-13G,1608-13,1613-13
