Roza2019_ID,Plant_ID
63_2C-3A-2,63
64_2D-4A-2,64
65_2E-5A-2,65
66_2L-9A-1,66
67_20H-161A-2,67
68_20H-161A-17-1,68
69_20H-161A-2,69
70_21A-166A-2,70
72_21G -169A-1,72
74_21K-171A-9,74
76_21K -171A -1,76
77_22 I-179A-1,77
79_22 I-179A-2,79
81_22F-176A-2,81
82_22F-176A-8,82
83_22F-176A-9,83
85_22H-178A-2,85
87_23C-183A-10,87
88_23C-183A-12,88
89_23D-184A-1,89
90_23D-184A-2,90
92_25 I-189A-,92
93_25 I -189A-1,93
94_26A-192A-1,94
95_26A-192A-2,95
96_26D-195A-9,96
97_26D-195A-13,97
98_26D-195A-15,98
100_26D-195A-16,100
101_26E-196A-2,101
104_28B-204A-1,104
107_28D-206A-9,107
108_28D-206A-11,108
111_29C-213A-2,111
112_2-4B-1,112
113_3C-11A-2,113
115_3D-12A-2,115
116_3F-13A-,116
117_3H-14A-2,117
118_3J-16A-1,118
119_3J-16A-2,119
120_30A-218A-2,120
121_30A-218A-8,121
123_30E-222A-2,123
124_30L-228A-2,124
125_30B-219A-2,125
126_32D-236A-,126
128_4B-18A-1,128
129_4C-19A-2,129
130_4D-20A-8,130
131_4G-23A-1,131
133_4L-27A-2,133
134_4L-27A-,134
135_5A-28A-1,135
138_5 I-34A-8,138
140_5B -29A-2,140
141_5E-31A-1,141
143_5F-32A-1,143
144_5F-32A-2,144
145_5G-33A-2,145
146_5L-37A-,146
147_6A-38A-1,147
149_6F-42A-8-1,149
150_6F-42A-8-2,150
151_6H-44A-2,151
152_6L-47A-2,152
153_6L-47A-9,153
155_17A-126A-2,155
156_7A-48A-1,156
157_7A-48A-2,157
158_7B-49A-8,158
160_ 8B-59 A-1,160
161_8-64A-2,161
163_8A-58A-1,163
164_9F-69A-9,164
166_1-2B-1,166
168_10-76B-9,168
169_10-77B-8,169
170_10-77B-13,170
172_10-77B-2,172
173_10-81B-2,173
175_11-84 B-1,175
176_11-82B-8,176
178_11-82B-13,178
183_11-87B-2,183
184_11-87B-,184
186_312-93B-1,186
187_313-101B-1,187
188_313-102B-1,188
189_313-102B-2,189
190_13-96B-2,190
191_13-100B-1,191
193_14-107B-1,193
194_14-103B-2,194
195_14-103B-8,195
196_14-104B-1,196
213_17-133B-2,213
230_19-148B-2,230
308_3-16B-11,308
307_3-16B-2,307
223_18-137B-2,223
198_14-107B-2,198
262_23-186B-9,262
220_17-132B-2,220
212_16-123B-8,212
236_20-162B-2,236
324_5-33B-1,324
318_4-27B-1,318
257_23-182B-10,257
306_3-13B-9,306
258_23-183B-9,258
