Name_Field,gen,Repeated,VCF
100A_S461_R1_001,100A,NR,SM:100A_S461_R1_001
100_S86_R1_001,100,NR,SM:100_S86_R1_001
101A_S473_R1_001,101A,NR,SM:101A_S473_R1_001
102A_S485_R1_001,102A,NR,SM:102A_S485_R1_001
103A_S496_R1_001,103A,NR,SM:103A_S496_R1_001
104_S109_R1_001,104,NR,SM:104_S109_R1_001
107_S121_R1_001,107,NR,SM:107_S121_R1_001
108_S40_R1_001,108,NR,SM:108_S40_R1_001
10A_S412_R1_001,10A,NR,SM:10A_S412_R1_001
111_S51_R1_001,111,NR,SM:111_S51_R1_001
112A_S426_R1_001,112A,NR,SM:112A_S426_R1_001
112_S63_R1_001,112,NR,SM:112_S63_R1_001
113_S75_R1_001,113,NR,SM:113_S75_R1_001
115_S87_R1_001,115,NR,SM:115_S87_R1_001
116_S98_R1_001,116,NR,SM:116_S98_R1_001
117_S110_R1_001,117,NR,SM:117_S110_R1_001
118_S122_R1_001,118,NR,SM:118_S122_R1_001
119A_S414_R1_001,119A,NR,SM:119A_S414_R1_001
121_S64_R1_001,121,NR,SM:121_S64_R1_001
123_S76_R1_001,123,NR,SM:123_S76_R1_001
124_S88_R1_001,124,NR,SM:124_S88_R1_001
125_S99_R1_001,125,NR,SM:125_S99_R1_001
126_S111_R1_001,126,NR,SM:126_S111_R1_001
128_S123_R1_001,128,NR,SM:128_S123_R1_001
129_S41_R1_001,129,NR,SM:129_S41_R1_001
12_S468_R1_001,12,NR,SM:12_S468_R1_001
130_S53_R1_001,130,NR,SM:130_S53_R1_001
131_S65_R1_001,131,NR,SM:131_S65_R1_001
133_S77_R1_001,133,NR,SM:133_S77_R1_001
134_S89_R1_001,134,NR,SM:134_S89_R1_001
135_S100_R1_001,135,NR,SM:135_S100_R1_001
138B_S438_R1_001,138B,NR,SM:138B_S438_R1_001
138_S112_R1_001,138,NR,SM:138_S112_R1_001
13_S16_R1_001,13,NR,SM:13_S16_R1_001
140_S124_R1_001,140,NR,SM:140_S124_R1_001
141_S42_R1_001,141,NR,SM:141_S42_R1_001
143_S54_R1_001,143,NR,SM:143_S54_R1_001
144_S66_R1_001,144,NR,SM:144_S66_R1_001
145_S78_R1_001,145,NR,SM:145_S78_R1_001
146_S90_R1_001,146,NR,SM:146_S90_R1_001
147_S101_R1_001,147,NR,SM:147_S101_R1_001
149_S113_R1_001,149,NR,SM:149_S113_R1_001
14_S20_R1_001,14,NR,SM:14_S20_R1_001
150_S125_R1_001,150,NR,SM:150_S125_R1_001
151_S43_R1_001,151,NR,SM:151_S43_R1_001
152_S55_R1_001,152,NR,SM:152_S55_R1_001
153_S67_R1_001,153,NR,SM:153_S67_R1_001
155_S79_R1_001,155,NR,SM:155_S79_R1_001
156_S91_R1_001,156,NR,SM:156_S91_R1_001
157_S102_R1_001,157,NR,SM:157_S102_R1_001
158_S114_R1_001,158,NR,SM:158_S114_R1_001
15B_S424_R1_001,15B,NR,SM:15B_S424_R1_001
15_S24_R1_001,15,NR,SM:15_S24_R1_001
1608-02_S479_R1_001,1608-02,NR,SM:1608-02_S479_R1_001
1608-05_S431_R1_001,1608-05,NR,SM:1608-05_S431_R1_001
