acc,ST0_aug_22,standard.errors,weights
1_10B-75A-,12.313,5.214,0.010005914
100_26D-195A-16,14.409,5.086,0.010247223
101_26E-196A-2,19.444,5.012,0.009765179
104_28B-204A-1,17.801,4.954,0.010215273
107_28D-206A-9,15.469,4.951,0.010266719
108_28D-206A-11,21.256,5.025,0.010084733
111_29C-213A-2,19.842,4.95,0.010256997
112_2-4B-1,19.268,4.993,0.010076244
113_3C-11A-2,13.222,5.013,0.010206966
115_3D-12A-2,11.83,4.96,0.010248256
116_3F-13A-,20.171,4.964,0.010205978
117_3H-14A-2,17.483,4.944,0.010302645
118_3J-16A-1,13.831,4.943,0.010294033
119_3J-16A-2,16.572,4.959,0.010268779
12_11B-82A-10,15.289,5.119,0.00984418
120_30A-218A-2,19.706,5.025,0.010159056
121_30A-218A-8,21.293,4.943,0.010312306
123_30E-222A-2,26.302,4.972,0.010258036
124_30L-228A-2,22.136,5.029,0.009377799
125_30B-219A-2,13.252,4.946,0.01023159
126_32D-236A-,20.829,4.991,0.01077184
128_4B-18A-1,14.468,5.045,0.010286778
129_4C-19A-2,16.57,4.987,0.010175749
13_11B-82A-18,23.462,5.086,0.010159723
130_4D-20A-8,11.416,4.949,0.010282949
131_4G-23A-1,10.291,4.961,0.01029162
133_4L-27A-2,13.624,4.96,0.010235448
134_4L-27A-,15.43,4.957,0.010192516
135_5A-28A-1,16.323,4.932,0.01022704
138_5I-34A-8,15.591,5.034,0.01016144
14_11F-86A-11,21.525,5.068,0.010191544
140_5B-29A-2,18.405,4.963,0.010240338
141_5E-31A-1,19.109,4.947,0.01024865
143_5F-32A-1,21.624,4.956,0.01026386
144_5F-32A-2,7.353,4.938,0.010283138
145_5G-33A-2,15.443,4.942,0.010283997
146_5L-37A-,18.3,4.971,0.010068357
147_6A-38A-1,18.738,4.946,0.010426672
149_6F-42A-8-1,23.572,4.932,0.010259916
15_13A-95A-1,17.876,5.01,0.010188265
150_6F-42A-8-2,26.336,5.042,0.010014017
151_6H-44A-2,20.943,6.067,0.008972825
152_6L-47A-2,21.384,5.051,0.010727846
153_6L-47A-9,12.848,5.078,0.01020548
155_17A-126A-2,11.805,4.961,0.010295369
156_7A-48A-1,10.695,5.04,0.010254785
157_7A-48A-2,13.988,4.955,0.01024259
158_7B-49A-8,17.572,5.029,0.01019262
16_13C-96A-1,25.81,5.091,0.01026631
160_8B-59A-1,20.622,4.957,0.010297424
161_8-64A-2,32.641,4.945,0.010270893
163_8A-58A-1,26.816,4.982,0.010240919
164_9F-69A-9,28.926,4.996,0.010166641
166_1-2B-1,22.542,4.957,0.010256207
168_10-76B-9,16.297,4.955,0.010255934
169_10-77B-8,22.321,4.964,0.010344378
17_13D-97A-1,17.373,5.006,0.010194446
170_10-77B-13,12.914,4.953,0.010285131
172_10-77B-2,13.584,5.008,0.010197616
173_10-81B-2,19.291,4.974,0.0104862
175_11-84B-1,9.134,4.983,0.010225591
176_11-82B-8,10.549,4.957,0.010173178
178_11-82B-13,15.1,5.073,0.010224806
18_13D-97A-2,16.116,6.174,0.009057364
183_11-87B-2,27.492,5.114,0.010689768
184_11-87B-,27.904,5.023,0.010155368
186_312-93B-1,70.848,6.226,0.008996067
187_313-101B-1,24.625,5.032,0.010120633
188_313-102B-1,19.71,4.952,0.010279765
189_313-102B-2,16.979,5.034,0.010158361
19_13F-99A-2,15.932,5.013,0.010241244
190_13-96B-2,22.329,4.973,0.010241525
191_13-100B-1,21.494,5.036,0.00970511
193_14-107B-1,25.675,4.954,0.01023873
194_14-103B-2,18.987,4.952,0.010204646
195_14-103B-8,22.144,4.952,0.01015837
196_14-104B-1,19.049,4.946,0.01033191
198_14-107B-2,13.605,5.001,0.009759477
199_15-108B-2,37.592,6.056,0.009139285
20_14C-104A-8,15.52,5.048,0.01018862
200_15-109B-1,25.516,4.947,0.010309496
201_15-109A-2,12.3,4.965,0.010345956
204_15-112B-11,20.203,4.949,0.010256591
206_16-118B-1,16.149,4.95,0.010092472
207_16-124B-1,16.046,4.961,0.010153723
208_16-124B-2,10.409,4.976,0.010785978
210_16-121B-1,9.476,4.992,0.010232679
211_16-121B-2,13.36,5.09,0.009653897
212_16-123B-8,13.942,4.948,0.010267272
213_17-133B-2,13.2,4.967,0.010321983
214_17-136B-1,17.342,5.008,0.010204592
215_17-133B-1,10.661,4.966,0.010266293
217_17-126B-9,20.872,5.007,0.009905332
218_17-131B-2,22.95,4.962,0.010229805
219_17-132B-1,20.061,4.947,0.010232855
22_14K-107A-2,21.799,5.117,0.009966037
220_17-132B-2,11.006,6.04,0.009158446
223_18-137B-2,18.666,4.942,0.010300021
224_18-139B-1,16.988,4.969,0.01020873
225_18-139B-2,16.726,4.963,0.010350944
226_18-140B-1,14.075,4.967,0.010351334
227_18-141B-,13.335,4.981,0.010004367
229_19-152B-2,24.235,5.029,0.010139395
23_15I-114A-1,19.134,5.078,0.010067212
230_19-148B-2,17.427,4.941,0.010139184
231_19-148B-10,15.632,5.091,0.009534112
232_19-148B-12,22.364,4.978,0.010743859
233_19-154B-2,13.224,6.15,0.008995228
234_1-2B-2,12.408,5.025,0.010205748
235_2-8B-1,17.574,4.951,0.010246822
236_20-162B-2,14.616,4.948,0.010277814
238_20-161B-8,16.236,5.008,0.010464058
239_20-161B-9,8.575,8.632,0.006706193
24_15A-108A-1,8.236,6.065,0.009096047
240_20-161B-10,15.461,4.976,0.010275728
241_20-161B-12,16.012,5.015,0.010201339
242_20-164B-1,34.057,4.983,0.010486571
243_21-168B-1,21.536,4.967,0.010307521
244_21-168B-2,31.566,5.013,0.010372788
245_21-169B-1,16.932,4.959,0.010280294
247_22-176B-1,19.342,4.95,0.010265081
248_22-179B-1,17.744,5.021,0.010185892
249_22-173B-2,19.657,4.951,0.010285987
25_15A-108A-9,5.544,5.082,0.010662655
250_22-173B-,12.392,4.959,0.010204677
251_22-175B-2,23.083,4.943,0.010129446
252_22-176B-2,12.294,4.991,0.01034632
253_22-178B-1,13.099,4.975,0.010765146
255_23-184B-1,3.667,5.134,0.010092576
257_23-182B-10,11.442,5.007,0.010371527
258_23-183B-9,14.513,4.959,0.010248414
26_15B-109A-1,12.001,5.091,0.010133733
262_23-186B-9,27.066,4.952,0.010220876
263_25-188B-1,12.1,4.993,0.009722812
264_26-194B-1,19.269,4.957,0.010223372
265_26-195B-1,19.605,4.951,0.010236564
266_26-198B-1,12.514,4.96,0.010285293
267_26-193B-1,20.839,4.953,0.01028862
268_26-194B-2,20.818,4.959,0.010392406
269_26-194B-9,19.956,4.968,0.010368199
27_15D-110A-1,12.472,4.985,0.01013918
271_26-195B-10,20.687,4.987,0.009768845
272_26-195B-15,27.768,5.01,0.010198886
273_26-195B-12,11.992,4.969,0.010405262
274_26-196B-2,40.502,4.975,0.009768796
275_26-196B-,24.717,5.024,0.010131941
28_15F-112A-8,9.226,4.981,0.010202017
280_29-217B-1,14.186,4.963,0.010037098
282_29-214B-2,15.012,4.969,0.010139072
284_2-3B-1,17.525,5.044,0.010722001
285_2-3B-2,18.917,5.061,0.01012292
