acc,ST0_sep_21,standard.errors,weights
1_10B-75A-,4.761,3.393,0.071766624
100_26D-195A-16,8.978,3.358,0.07154311
101_26E-196A-2,10.275,3.337,0.069232494
104_28B-204A-1,5.863,3.32,0.073485824
107_28D-206A-9,3.785,3.32,0.073677949
108_28D-206A-11,4.076,3.337,0.073803032
111_29C-213A-2,8.678,3.312,0.07399011
112_2-4B-1,7.007,3.329,0.070058595
113_3C-11A-2,8.371,3.345,0.072362601
115_3D-12A-2,5.198,3.31,0.073880034
116_3F-13A-,19.035,3.313,0.073664416
117_3H-14A-2,4.933,3.313,0.073447253
118_3J-16A-1,4.981,3.312,0.073849172
119_3J-16A-2,9.024,3.325,0.073167052
12_11B-82A-10,7.273,3.344,0.071186815
120_30A-218A-2,6.835,3.322,0.07333016
121_30A-218A-8,10.095,3.311,0.074674414
123_30E-222A-2,9.032,3.314,0.073144811
124_30L-228A-2,7.775,3.331,0.070053693
125_30B-219A-2,5.954,3.321,0.074490184
126_32D-236A-,9.414,3.32,0.076342287
128_4B-18A-1,3.598,3.344,0.071419815
129_4C-19A-2,7.229,3.332,0.07329795
13_11B-82A-18,7.798,3.335,0.071722116
130_4D-20A-8,6.785,3.323,0.073733388
131_4G-23A-1,4.792,3.318,0.072970517
133_4L-27A-2,3.977,3.311,0.073638189
134_4L-27A-,1.159,3.315,0.073628952
135_5A-28A-1,11.852,3.317,0.074196477
138_5I-34A-8,5.948,3.338,0.072786595
14_11F-86A-11,8.239,3.336,0.071910381
140_5B-29A-2,6.523,3.325,0.073329873
141_5E-31A-1,8.33,3.316,0.07381991
143_5F-32A-1,10.401,3.312,0.074236191
144_5F-32A-2,4.438,3.316,0.073684372
145_5G-33A-2,2.493,3.312,0.074022037
146_5L-37A-,6.791,3.321,0.072041829
147_6A-38A-1,8.475,3.321,0.072028669
149_6F-42A-8-1,7.815,3.314,0.074347122
15_13A-95A-1,7.486,3.319,0.073548307
150_6F-42A-8-2,9.681,3.329,0.074652552
151_6H-44A-2,4.666,3.323,0.075175992
152_6L-47A-2,11.042,3.35,0.075518492
153_6L-47A-9,6.786,3.348,0.071906765
155_17A-126A-2,4.994,3.324,0.07374397
156_7A-48A-1,7.798,3.338,0.071817112
157_7A-48A-2,5.743,3.315,0.074115843
158_7B-49A-8,7.866,3.327,0.073335476
16_13C-96A-1,13.55,3.343,0.071358128
160_8B-59A-1,6.913,3.318,0.073376103
161_8-64A-2,7.675,3.314,0.074042294
163_8A-58A-1,5.549,3.321,0.072881508
164_9F-69A-9,5.683,3.326,0.074682315
166_1-2B-1,6.709,3.316,0.073044487
168_10-76B-9,10.866,3.313,0.073032876
169_10-77B-8,13.501,3.323,0.071256098
17_13D-97A-1,11.923,3.319,0.073589916
170_10-77B-13,5.678,3.311,0.074164698
172_10-77B-2,5.868,3.321,0.073694932
173_10-81B-2,5.772,3.324,0.07522556
175_11-84B-1,4.771,3.329,0.073900523
176_11-82B-8,4.922,3.312,0.075529604
178_11-82B-13,6.626,3.34,0.076305975
18_13D-97A-2,20.258,3.326,0.070870161
183_11-87B-2,13.407,3.337,0.073678264
184_11-87B-,7.693,3.34,0.07255385
186_312-93B-1,18.727,3.351,0.072634355
187_313-101B-1,10.414,4.07,0.052412494
188_313-102B-1,9.338,3.32,0.073689348
189_313-102B-2,12.314,3.339,0.07207475
19_13F-99A-2,8.301,3.318,0.074010506
190_13-96B-2,11.056,3.318,0.072451413
191_13-100B-1,5.034,3.338,0.069162408
193_14-107B-1,2.546,3.312,0.073868217
194_14-103B-2,12.883,3.313,0.073746412
195_14-103B-8,12.206,3.313,0.074423568
196_14-104B-1,10.444,3.313,0.072740269
198_14-107B-2,5.201,3.33,0.070281649
199_15-108B-2,3.87,3.316,0.07368008
20_14C-104A-8,8.309,3.326,0.073736844
200_15-109B-1,9.425,4.057,0.051918343
201_15-109A-2,4.937,3.311,0.072598542
204_15-112B-11,7.26,3.318,0.074041443
206_16-118B-1,7.827,3.312,0.074807486
207_16-124B-1,6.62,3.321,0.075690888
208_16-124B-2,9.517,3.324,0.076532255
210_16-121B-1,4.179,3.34,0.073344726
211_16-121B-2,8.221,3.375,0.068900319
212_16-123B-8,11.639,3.32,0.073564995
213_17-133B-2,4.447,3.327,0.072771308
214_17-136B-1,8.461,3.321,0.074085748
215_17-133B-1,3.273,3.319,0.073257565
217_17-126B-9,10.443,3.323,0.072146678
218_17-131B-2,8.327,3.315,0.073841239
219_17-132B-1,4.736,3.317,0.073870921
22_14K-107A-2,13.25,3.352,0.073992281
220_17-132B-2,9.11,3.313,0.073129337
223_18-137B-2,7.157,3.315,0.073376134
224_18-139B-1,9.825,3.328,0.073108642
225_18-139B-2,7.633,3.317,0.07236568
226_18-140B-1,8.462,3.325,0.071082992
227_18-141B-,14.249,3.33,0.071958309
229_19-152B-2,6.658,4.084,0.052539538
23_15I-114A-1,15.255,3.34,0.075113427
230_19-148B-2,6.589,3.314,0.075118734
231_19-148B-10,4.727,3.343,0.07215342
232_19-148B-12,11.489,3.323,0.076396922
233_19-154B-2,8.231,4.109,0.051837433
234_1-2B-2,6.489,3.339,0.073128995
235_2-8B-1,9.863,3.316,0.074238271
236_20-162B-2,7.751,3.324,0.073741998
238_20-161B-8,3.895,3.339,0.07458913
239_20-161B-9,14.469,4.063,0.053358762
24_15A-108A-1,7.098,3.324,0.075993192
240_20-161B-10,5.703,3.331,0.073115366
241_20-161B-12,6.099,3.32,0.073068521
242_20-164B-1,4.477,3.328,0.074629381
243_21-168B-1,5.796,3.321,0.072599727
244_21-168B-2,7.91,3.338,0.073924719
245_21-169B-1,6.167,3.316,0.072824272
247_22-176B-1,9.207,3.316,0.073756468
248_22-179B-1,8.263,3.322,0.073718713
249_22-173B-2,8.309,3.315,0.074662239
25_15A-108A-9,4.799,3.335,0.076766729
250_22-173B-,7.372,3.316,0.074929382
251_22-175B-2,5.463,3.312,0.075220565
252_22-176B-2,9.155,3.329,0.076974374
253_22-178B-1,4.676,3.327,0.076662842
255_23-184B-1,6.454,3.372,0.071687151
257_23-182B-10,8.062,3.337,0.074329718
258_23-183B-9,11.406,3.321,0.07352114
26_15B-109A-1,5.336,3.361,0.07268723
262_23-186B-9,20.658,3.321,0.073605659
263_25-188B-1,8.029,3.323,0.070075161
264_26-194B-1,6.317,3.312,0.073803397
265_26-195B-1,7.84,3.316,0.073696272
266_26-198B-1,7.285,3.313,0.073321858
267_26-193B-1,6.877,3.331,0.072748719
268_26-194B-2,12.511,3.321,0.071312123
269_26-194B-9,10.687,3.323,0.070965653
27_15D-110A-1,9.438,3.334,0.073870273
272_26-195B-15,5.508,3.321,0.072919029
273_26-195B-12,7.599,3.326,0.070348311
274_26-196B-2,14.704,3.329,0.070469905
275_26-196B-,15.1,3.326,0.073807875
28_15F-112A-8,2.614,3.331,0.073592113
280_29-217B-1,9.877,3.32,0.075596085
282_29-214B-2,7.518,3.314,0.07538157
284_2-3B-1,4.027,3.333,0.076367717
285_2-3B-2,11.497,3.347,0.072857748
286_2-4B-2-A,6.668,3.325,0.073699295
287_2-4B-2-B,9.344,3.321,0.074028089
288_2-5B-2,5.755,3.316,0.07454412
29_15G-113A-15,0.778,3.332,0.074492907
291_30-227B-1,4.129,3.318,0.072528267
295_30-222B-2,10.631,3.313,0.073365286
296_30-223B-,3.786,3.347,0.071019719
297_30-224B-2,16.312,3.31,0.073984499
298_30-227B-,9.819,3.316,0.074777984
299_30-228B-1,4.301,3.312,0.073882218
30_15G-113A-1,4.725,3.315,0.07334543
300_32-240B-1,7.649,3.31,0.073468491
302_32-244B-1,7.938,3.33,0.074146576
303_3-11B-2,8.305,3.315,0.073967507
304_3-11B-1,7.213,3.314,0.073606352
305_3-13B-2,14.19,3.313,0.07433267
306_3-13B-9,10.771,3.329,0.072789259
307_3-16B-2,6.751,3.32,0.075666417
308_3-16B-11,13.14,3.326,0.076376267
309_3-17B-2,13.273,3.32,0.075127737
311_4-19B-1,2.531,4.069,0.051543676
312_4-21B-8,7.404,3.357,0.07259089
314_4-24B-8,3.671,3.318,0.073234428
315_4-25B-2,11.733,3.33,0.069164614
316_4-25B-1,10.156,3.319,0.073485664
318_4-27B-1,6.566,3.316,0.074129669
319_5-34B-1,8.631,3.313,0.074317229
32_15J-115A-2,9.961,3.314,0.074259071
320_5-30B-1,5.27,3.333,0.073487223
321_5-31B-1,7.568,3.324,0.072151742
322_5-31B-2,9.572,3.325,0.070738874
324_5-33B-1,8.363,3.313,0.072876011
325_5-33B-2,6.986,3.318,0.073400598
326_6-47B-1,5.809,3.324,0.073771174
327_6-41B-1,10.993,3.344,0.073128604
328_6-41B-2,15.795,3.316,0.072774773
33_15L-116A-1,2.867,3.327,0.074648698
330_6-43B-10,6.417,3.315,0.074740655
331_6-44B-1,9.202,3.318,0.075221293
332_6-46B-1,6.668,3.316,0.075744489
333_6-47B-2,8.107,3.324,0.076615759
334_7-57B-1,7.221,3.349,0.074053384
335_7-48B-1,12.502,3.329,0.073619379
337_9-72B-1,12.62,3.319,0.073366147
338_9-67B-1,14.405,3.314,0.073610886
339_9-69B-1,7.855,3.318,0.071838768
34_15-113B-2,9.13,3.32,0.073916921
342_9-70B-,10.211,3.312,0.073553382
343_10D-77A-7,2.319,3.341,0.074284433
344_11B-82A-4,6.645,3.328,0.073428952
350_14C-104A-4,3.682,3.317,0.073463607
351_14E-105A-4,5.781,3.316,0.073939402
353_14F-106A-3,11.125,3.315,0.072420301
354_15I-114A-4,7.224,4.056,0.052180297
355_15A-108A-6,2.409,3.325,0.071348779
356_15A-108A-3,4.454,3.331,0.070436673
357_15A-108A-7,7.929,3.33,0.073806121
358_15A-108A-4,7.794,3.317,0.074753971
36_15G-113A-8,1.2,3.319,0.072591959
