VCF,ST0_sep_21,ST0_aug_22,PC1,PC2,PC3
SM:1_S502_R1_001,4.761,12.313,-0.12132964,0.61684555,-0.14980908
SM:4_S444_R1_001,9.467,15.587,-8.086355,4.9093876,0.7646638
SM:5_S1_R1_001,5.715,6.463,-1.5612228,-3.2419012,0.5918243
SM:6_S6_R1_001,3.02,19.667,-5.135372,-4.4947686,-2.2738183
SM:12_S468_R1_001,7.273,15.289,-2.1334274,4.232953,1.7448171
SM:13_S16_R1_001,7.798,23.462,2.5589893,-2.7170615,17.197292
SM:14_S20_R1_001,8.239,21.525,0.17317595,-0.6155406,2.6854925
SM:15_S24_R1_001,7.486,17.876,2.030464,-0.2646582,-2.0435588
SM:16_S28_R1_001,13.55,25.81,3.1386528,-2.4431539,13.808831
SM:17_S480_R1_001,11.923,17.373,1.9309973,-0.6831778,8.699055
SM:18_S32_R1_001,20.258,16.116,4.2415304,-2.881388,15.825407
SM:19_S2_R1_001,8.301,15.932,2.5407953,-2.7838888,17.092184
SM:20_S7_R1_001,8.309,15.52,4.291803,3.4849133,-1.4078425
SM:22_S12_R1_001,13.25,21.799,3.8036654,1.6671584,-1.381212
SM:24_S21_R1_001,7.098,8.236,-13.667951,9.405197,1.2053733
SM:25_S25_R1_001,4.799,5.544,-13.227863,7.4232655,2.292862
SM:26_S29_R1_001,5.336,12.001,-8.508855,4.4262238,1.357295
SM:27_S491_R1_001,9.438,12.472,-10.201941,-1.4178253,0.15957892
SM:29_S3_R1_001,0.778,13.536,-10.268333,9.455352,1.6675961
SM:34_S434_R1_001,9.13,16.059,-6.1080155,2.0348508,1.4768323
SM:36_S458_R1_001,1.2,13.303,1.6051013,0.9279923,1.2802547
SM:40_S459_R1_001,6.244,15.731,-8.79691,-9.159325,-1.60388
SM:41_S470_R1_001,9.118,21.539,-5.0161395,-12.691657,-2.0403247
SM:42_S482_R1_001,2.702,9.754,-1.8440698,-10.320571,-5.905737
SM:44_S505_R1_001,5.86,21.091,-0.08573837,-4.854515,-3.5879068
SM:47_S494_R1_001,8.074,17.615,1.446261,0.008974052,-3.8636386
SM:48_S13_R1_001,10.391,23.38,2.2491672,0.79454017,1.3246984
SM:50_S22_R1_001,7.74,18.357,-1.3803177,-8.348077,-6.372223
SM:51_S26_R1_001,9.155,32.021,-0.5898538,-2.6687047,-3.0149877
SM:52_S30_R1_001,7.179,17.831,-9.140946,-9.318183,-1.7203571
SM:53_S34_R1_001,5.041,27.691,-5.2496667,-12.757324,-1.9779648
SM:54_S4_R1_001,3.954,24.91,-2.282216,-10.492239,-6.1628337
SM:55_S9_R1_001,3.761,15.33,-2.0152228,-7.082593,-7.2217145
SM:56_S14_R1_001,11.446,20.603,-0.8422443,-6.947149,-6.284213
SM:57_S19_R1_001,11.39,19.104,4.366854,1.8487605,-5.6754613
SM:59_S23_R1_001,8.411,14.701,1.7503757,-0.75622654,-3.6504393
SM:60_S27_R1_001,11.504,13.708,1.4111847,-0.015971022,-3.98736
SM:62_S31_R1_001,11.075,16.926,2.7848988,3.5642977,-3.109215
SM:63_S36_R1_001,8.973,19.707,3.4565587,5.3444386,-1.2441905
SM:64_S47_R1_001,9.393,17.758,3.945412,3.5478086,-3.9101684
SM:65_S59_R1_001,6.988,13.596,2.8303034,3.6511164,-3.972555
SM:66_S71_R1_001,7.925,19.017,4.064832,1.4393269,-6.6655803
SM:67_S83_R1_001,11.438,13.892,4.0957203,5.209846,-0.7467464
SM:68_S95_R1_001,13.892,22.442,3.3524585,5.5828533,-1.1455917
SM:69_S106_R1_001,6.794,14.831,4.168582,4.336049,-1.154642
SM:70_S118_R1_001,6.903,14.167,-2.459159,-3.4825008,3.3823254
SM:74_S48_R1_001,10.899,18.113,-9.942233,1.2891638,1.2450461
SM:81_S96_R1_001,8.851,23.292,-1.2965354,2.5949087,0.3889326
SM:82_S107_R1_001,14.221,15.684,-3.596568,6.9385037,0.8090645
SM:83_S119_R1_001,7.898,14.023,1.131001,4.3460617,-1.0564786
SM:85_S38_R1_001,10.76,26.005,3.3926392,6.1769114,-0.014995123
SM:87_S49_R1_001,3.865,17.329,2.8702564,0.28404918,-1.8793267
SM:88_S61_R1_001,8.475,15.801,-2.6942084,-0.73129576,-1.4955894
SM:89_S73_R1_001,2.227,6.907,-3.547086,-1.9366455,-2.259535
SM:90_S85_R1_001,1.688,6.808,-1.6806628,0.90777785,-1.6254847
SM:94_S120_R1_001,14.916,14.78,1.1587154,2.475969,-1.7460872
SM:95_S39_R1_001,5.963,15.413,3.0606427,4.7440653,-0.40802026
SM:96_S50_R1_001,12.535,21.731,4.2202096,-0.63360316,3.237889
SM:97_S62_R1_001,6.572,11.761,2.444665,3.0033274,0.6279136
SM:98_S74_R1_001,4.008,20.175,1.2823029,0.30983597,0.60488033
SM:100_S86_R1_001,8.978,14.409,2.1124864,4.0535765,-3.6509194
SM:104_S109_R1_001,5.863,17.801,-2.539218,-5.2766833,4.122407
SM:107_S121_R1_001,3.785,15.469,-2.791881,-3.9446554,-1.8364552
SM:108_S40_R1_001,4.076,21.256,0.39886418,-6.837878,1.8787323
SM:111_S51_R1_001,8.678,19.842,4.217744,-0.09693312,-5.562076
SM:112_S63_R1_001,7.007,19.268,5.441488,4.380232,-3.0870311
