all,may_20_1stage,jun_20_1stage,jul_20_1stage,aug_20_1stage,sep_20_1stage,may_21_1stage,jun_21_1stage,jul_21_1stage,aug_21_1stage,sep_21_1stage,MET_may,MET_jun,MET_jul,MET_aug,MET_sep,MET_20,MET_21,MET_all,FA1_all,FA1_PH,PH_19_1stage,PH_20_1stage,CT_20_1stage,PC1,PC2,PC3
SM:100_S86_R1_001,57.158,64.249,51.234,37.711,15.827,40.533,9.593,22.88,34.045,8.746,51.2755176282,37.479532326,37.7227336147,34.9945729648,10.8548497317,47.5780863517,22.9531884572,34.9639115181,-0.1688615383,0.4422462487,79.565,42.791,25.149,2.1124864,4.0535765,-3.6509194
SM:104_S109_R1_001,63.965,71.421,53.681,38.328,7.82,50.849,16.221,31.469,28.889,5.989,56.6731659115,42.0621264712,41.2445267403,33.9193200284,8.3676482726,45.9961392923,26.097048244,36.5247249137,0.0445877607,1.0998384247,84.207,45.247,24.278,-2.539218,-5.2766833,4.122407
SM:107_S121_R1_001,64.064,82.322,50.226,29.122,6.426,53.7,17.507,26.267,27.554,4.064,57.8401522297,45.6370137589,38.6964192939,31.2651166471,7.7916174389,45.1104083429,25.4293151951,35.6280902129,-0.138820061,1.4371966837,86.185,46.997,24.951,-2.791881,-3.9446554,-1.8364552
SM:108_S40_R1_001,75.159,57.601,41.184,32.324,10.5,30.367,9.65,17.995,19.007,3.821,50.6885361987,35.6056352655,33.8748764368,29.9921069333,8.9118967343,43.6210373697,17.8300609672,29.7071038296,-0.7701258012,-0.5444839838,71.958,39.896,24.753,0.39886418,-6.837878,1.8787323
SM:111_S51_R1_001,75.104,58.399,46.753,35.83,6.963,49.882,17.377,28.739,28.489,8.794,58.4653615401,38.819571673,38.8677917684,33.182212279,8.3871801199,43.3075193996,26.1312070563,35.2530031533,-0.1298188885,0.7525652704,78.523,47.85,24.836,4.217744,-0.09693312,-5.562076
SM:112_S63_R1_001,51.518,53.13,44.136,40.043,16.62,50.117,18.365,29.885,39.789,7.302,53.9770178035,37.6848776806,38.7380664376,36.9112230206,10.9459166372,45.1155373585,27.7489438416,37.0668763444,0.0789042941,0.5170699149,81,41.983,24.531,5.441488,4.380232,-3.0870311
SM:113_S75_R1_001,59.604,62.308,47.991,39.37,10.689,43.8,15.966,21.273,27.774,8.099,53.033723485,39.3668575974,36.4454024067,33.9138703132,9.3740359871,44.9263881117,23.4726534432,34.1800803319,-0.1562626461,0.3336022377,77.505,43.944,23.849,5.615018,-1.7242811,1.5050949
SM:115_S87_R1_001,77.295,55.112,43.273,41.969,12.711,33.21,11.04,21.155,23.058,5.37,52.2450761312,35.4343001667,35.4445849261,33.4379474242,9.6847577994,46.4125379538,19.8426255966,32.4280034683,-0.2762889459,0.1003536933,75.826,43.106,23.982,2.3798602,-0.70480865,-1.7923974
SM:116_S98_R1_001,77.87,64.707,38.273,36.51,9.577,57.908,17.306,35.818,41.585,18.995,62.2481014169,40.565993358,39.6501433258,36.5030244606,10.0923691964,44.9819839654,31.8888397722,39.8971661204,0.5090131274,0.9891946698,81.95,46.568,23.885,-7.243233,6.200301,0.38213062
SM:117_S110_R1_001,78.124,61.319,58.112,48.483,7.576,38.059,18.192,29.802,41.679,5.023,54.3416405796,39.9342430029,41.5734785331,39.5958994349,8.2021101422,47.9624285187,25.7800765713,37.2798439557,0.2779512162,0.7865763669,81.694,44.398,24.155,3.034262,0.65015185,5.0691314
SM:118_S122_R1_001,47.765,52.379,47.535,31.768,5.929,35.311,10.82,24.294,23.508,5.336,47.3433090265,34.5645926715,37.4344345433,30.9348179544,7.7636358083,38.4041842958,20.6989530215,29.2004018104,-0.9004817503,-0.0821747869,76.43,40.128,24.697,0.9003456,2.494044,0.12935196
SM:121_S64_R1_001,89.215,96.286,78.443,61.931,10.426,56.549,20.725,35.565,36.872,10.242,63.8804423366,50.9351526821,47.814253034,41.8928757509,9.5060324286,61.0610122911,30.2681283338,46.6309911578,1.419872719,1.3596414618,82.799,50.084,23.989,5.1636834,-3.7087436,-4.7240276
SM:123_S76_R1_001,65.386,58.141,57.549,53.775,10.441,36.755,17.953,28.351,28.541,9.318,51.3622640943,38.9605046842,40.9270349103,37.762961096,9.4204935494,48.352693428,24.2783340223,36.4680628383,0.0427431591,0.4497540736,77.777,45.034,24,-0.8073041,-8.643458,0.8187412
SM:124_S88_R1_001,63.821,77.78,45.898,37.854,9.807,33.419,12.733,23.832,34.993,8.489,49.7498557454,42.5602520814,36.9592704968,35.2151752145,9.1623082978,46.9741473885,22.6997169727,34.6720239746,-0.0672199976,1.2219594346,83.64,47.445,24.786,2.5042102,0.39740372,0.15344474
SM:125_S99_R1_001,59.921,54.574,62.934,38.23,8.267,24.792,14.068,20.136,25.228,6.327,45.5269836038,36.4368940092,39.1232439757,33.0029534913,8.5205556408,44.1398191874,19.4238508138,31.0567683115,-0.5519370255,-0.2900735465,74.15,40.351,24.036,4.202189,-3.4801276,1.3168005
SM:126_S111_R1_001,80.568,62.678,50.314,42.856,9.672,49.918,18.573,30.689,27.852,9.515,59.5546059005,40.5316871363,40.284489786,34.8217919547,9.2265023955,47.5354902434,26.7342020068,37.6908851112,0.4567758038,1.7543050064,85.983,51.061,24.372,-7.510685,5.0324173,3.339768
SM:128_S123_R1_001,72.169,63.366,51.094,39.545,15.188,40.364,20.123,27.178,25.94,3.339,54.097711973,41.2687248266,39.1909888085,33.5275026604,10.1736169253,48.9610333681,23.7430098949,36.2529608215,0.0513826672,-0.984465307,72.656,33.577,24.133,3.9496377,1.8252403,-2.3767095
SM:129_S41_R1_001,53.586,47.757,39.609,33.697,9.599,36.74,10.225,22.86,25.87,7.307,49.0699438829,33.0451889239,35.3260245733,32.0220569999,8.99380397,39.3961229857,21.1944956386,29.9631975569,-0.6974985144,-0.8910554218,72.396,35.083,23.646,4.143547,2.8913014,-0.94617844
SM:12_S468_R1_001,58.89,53.755,42.572,45.094,12.453,29.748,15.206,28.221,25.797,7.597,47.3574557197,36.6514645554,37.8276228759,34.8891445073,9.8123789952,44.5886781024,22.0270300054,33.0881527928,-0.2965755672,-0.9182015356,68.931,38.93,24.469,-2.1334274,4.232953,1.7448171
SM:130_S53_R1_001,57.984,61.291,55.449,34.278,9.022,30.376,10.539,20.866,24.277,6.531,47.371401743,37.0047171213,37.8396370185,31.7712105302,8.7544458197,43.8233485411,19.617434682,31.0098052459,-0.656165218,-0.423285547,73.667,39.291,23.749,3.5742445,2.633108,-1.4398278
SM:131_S65_R1_001,57.526,44.254,35.176,30.476,10.947,34.489,15.745,18.43,26.058,5.041,48.9474116955,34.2350930972,32.8867796414,31.2571283547,9.1540827828,38.8213903765,20.8412953303,29.4261925869,-0.9128280206,-0.6043787276,72.822,38.068,24.501,2.2103117,3.6755595,-0.72400665
SM:133_S77_R1_001,57.937,67.886,54.909,33.983,12.597,32.704,11.036,27.99,23.943,4.042,48.3003901857,39.0568209502,40.2588787178,31.6237231257,9.5204923625,46.5184900936,20.8086729298,33.0654006983,-0.321778337,0.8473948992,82.234,44.521,24.174,5.156873,2.7943578,-2.1447423
SM:134_S89_R1_001,65.224,57.714,46.871,38.606,8.071,26.626,13.252,15.612,17.821,1.534,47.2822270639,37.0292081577,34.2014529602,31.3177289051,8.0089028873,43.215555601,17.0348653908,29.0579282565,-0.7818017941,0.8667385302,82.491,44.424,24.29,4.113638,2.361205,-1.5165439
SM:135_S100_R1_001,79.046,67.623,44.216,39.756,7.97,39.995,18.021,29.932,26.554,11.95,55.3035457709,41.683287865,38.7606706544,33.7160521391,8.9748065991,46.1011044063,25.2062451075,36.0114085166,-0.0263125687,1.916286555,90.776,47.203,25.181,4.4080544,0.32551733,-5.4931836
SM:13_S16_R1_001,49.395,43.687,52.71,46.977,9.015,32.941,12.468,27.474,31.847,7.966,46.7799355752,32.7751171927,39.6260119978,36.8046395341,8.8972058065,41.8869547011,22.7104306083,32.2488497332,-0.5206553107,-0.0105956875,79.188,37.67,24.358,2.5589893,-2.7170615,17.197292
SM:141_S42_R1_001,100.119,81.201,53.051,40.886,10.855,47.439,15.38,34.051,38.743,8.385,62.3351280319,44.5388572285,42.0643455275,36.9537275981,9.4480937084,53.1636263822,27.5442930272,40.8921164232,0.6084127427,1.1906940711,84.343,46.156,24.244,2.859265,1.45989,-2.5804198
SM:143_S54_R1_001,66.236,57.352,47.321,34.604,9.17,43.904,14.564,26.808,32.529,10.352,54.3665104605,37.4159594619,38.2885853432,33.8401437461,9.1587088608,43.1513536752,25.1375307942,34.4370967876,-0.1868068416,1.1539268572,84.446,45.543,24.156,3.6114838,-3.2730467,-7.049331
SM:144_S66_R1_001,44.263,63.452,60.587,35.794,6.994,37.805,13.118,28.232,27.355,4.37,47.6417099781,38.6119491181,41.5264149195,32.8935352479,7.9711875787,42.6722681864,22.5292560848,32.4756379854,-0.4757799818,0.2074302697,75.768,44.502,24.162,-3.0934627,3.6515315,-2.112366
SM:145_S78_R1_001,70.489,54.627,36.165,39.303,10.068,37.178,10.05,14.799,11.778,2.546,52.5129594508,34.9099903033,31.6960368814,30.0301664116,8.6678757843,43.0194130483,17.2518442289,29.1096776027,-0.77861377,1.4534531566,83.93,49.855,24.941,-0.063819036,-6.679717,-4.949313
SM:146_S90_R1_001,56.015,74.739,60.575,44.315,14.549,50.662,14.695,31.571,28.284,6.91,55.0382572048,42.4435140374,42.6980024208,35.3012881141,10.3484230606,50.857303586,25.8789999422,38.6145232362,0.5824931057,0.4044578048,80.88,40.696,24.961,3.6280115,-0.2971708,-4.035821
SM:147_S101_R1_001,73.804,60.052,55.766,51.63,8.29,44.392,15.03,26.988,30.807,8.738,56.0102878427,38.3760190691,40.0770154593,37.7618756824,8.7594874686,47.9096329165,24.8393279345,36.6354896552,0.0270039414,0.0426775835,79.123,38.396,23.018,-6.436951,-1.8452493,-1.2281256
SM:149_S113_R1_001,54.909,68.268,51.57,49.513,9.76,49.134,18.101,31.37,33.935,8.042,54.2401334891,41.9019701235,40.7950470043,37.9959123836,9.1061811217,47.1652038791,27.1874862675,37.8652338162,0.2031609678,0.2674942894,78.728,41.628,24.148,-7.561339,-5.3552074,-1.8728783
SM:14_S20_R1_001,64.813,61.389,53.595,57.155,8.476,47.992,13.13,30.499,29.245,8.325,55.6857061058,38.0368426569,40.8675950646,38.7383067296,8.7827621607,47.9685081863,25.331136731,37.0452738942,0.2134068981,0.4211251412,77.298,45.275,24.206,0.17317595,-0.6155406,2.6854925
SM:150_S125_R1_001,77.975,92.788,58.831,35.841,10.313,33.995,10.324,36.205,36.355,9.769,53.6724919633,46.5417537419,44.0405097941,35.5727416758,9.427698055,52.9605058074,25.5308225827,39.5445894914,1.4037934484,0.0601417815,74.553,44.184,25.177,-0.18711889,0.41644967,1.6141956
SM:151_S43_R1_001,90.482,73.234,62.046,32.992,11.171,34.537,3.523,11.756,16.364,4.608,55.3758888912,37.6903828591,35.9528355733,30.0627914081,9.1716439753,50.7672506709,16.1213221624,32.0408409823,-0.6742501148,-0.3028114231,73.048,41.546,23.896,-4.441185,-3.1402771,-0.18750252
SM:152_S55_R1_001,73.109,59.743,62.792,48.893,12.157,30.274,15.105,30.217,23.503,11.209,50.299675778,38.3090181465,42.7075950233,35.3339255539,10.0931898605,50.054418896,22.7013089321,36.1551156353,0.3256060257,-0.1912303421,73.22,42.722,24.903,-2.694769,-1.872479,8.0524845
SM:153_S67_R1_001,48.522,58.293,46.157,30.913,10.324,31.824,10.449,25.239,23.386,6.629,46.2042989195,36.1387910718,37.5197263026,30.7615597924,9.1328119079,41.3019028948,20.4634702444,30.3537712243,-0.7112938595,-1.0478947421,68.816,37.418,24.905,-2.281871,-6.1788034,-1.7595357
SM:155_S79_R1_001,47.332,46.511,51.147,36.391,4.533,26.806,5.204,10.107,12.172,5.242,43.9114838271,30.7528592725,33.1735116492,29.3920453065,7.3747950608,37.9755806118,14.4727489864,24.7886899861,-1.3008616438,0.9797148524,84.88,42.929,24.3,3.7824926,-2.575641,-3.4543498
SM:156_S91_R1_001,70.928,87.485,55.923,42.15,11.913,36.127,12.83,24.976,18.666,7.671,52.1948866423,45.2807489481,39.407403536,32.4598940382,9.6718487783,52.2535992077,21.0845252334,36.119964094,0.0952048608,0.6155651588,80.988,43.196,24.328,-1.1589072,6.066473,0.7338582
SM:157_S102_R1_001,51.399,55.834,45.092,48.396,11.527,36.123,13.776,22.021,24.139,5.828,48.4034330101,36.7045202995,36.1402361394,35.3347337625,9.3909583564,44.6473460665,21.1754941029,32.5538418613,-0.3791310776,1.4733174253,85.858,47.811,24.187,4.4451175,4.2166243,-1.0684415
SM:158_S114_R1_001,74.772,67.977,41.737,50.766,9.677,51.635,15.127,31.359,32.142,8.428,59.0386639234,40.666285923,38.7561816408,37.839955525,9.1244327736,48.1290737897,26.7953842087,38.0971252004,0.4075253824,1.2009524431,84.415,46.244,23.937,-4.507944,5.570927,-0.14064887
SM:15_S24_R1_001,68.562,57.416,44.007,35.301,7.858,33.849,10.124,21.8,26.062,7.523,50.7909723086,35.7429553418,35.8148573416,32.4567125437,8.517785609,42.484944508,20.6092270006,31.0917897523,-0.5556894303,-0.1212574172,77.789,37.988,24.286,2.030464,-0.2646582,-2.0435588
SM:161_S44_R1_001,73.381,68.899,75.791,39.924,12.63,49.817,14.736,31.062,34.183,7.66,58.1050031846,40.7855941135,45.6302964436,35.6019621077,9.8804421922,51.848264233,26.5632585446,39.4710442677,0.4474149372,0.9411832476,83.296,44.362,24.495,1.2872742,1.8416554,-1.634125
SM:163_S56_R1_001,76.232,77.713,62.243,76.647,14.721,71.927,17.777,32.194,38.052,5.866,67.6431092615,43.687172581,41.9234341124,45.8953392814,10.2988142535,60.2968899197,31.0862301869,47.0347328619,3.5372582587,-0.0053477984,79.477,37.372,24.965,-2.540321,-0.64142555,-1.1788085
SM:164_S68_R1_001,77.024,44.002,48.764,25.021,13.629,38.234,16.607,24.322,23.93,5.606,54.1959077824,34.3869197525,37.6872178242,29.2878844054,9.9713667688,42.7438232136,22.3518759388,32.2155346417,-0.4417889462,-1.9949488795,62.524,33.586,24.599,4.1173196,-1.0500813,-0.87995446
SM:166_S80_R1_001,86.271,68.962,58.84,44.465,7.436,52.791,21.17,34.858,31.599,6.599,61.7440122214,43.2648425876,43.4968536913,36.1262564129,8.3217703083,49.3884083952,28.3639750889,39.7255828221,0.3620656499,1.6621566039,88.965,46.386,25.133,4.8464546,-0.056066766,0.26868904
SM:168_S92_R1_001,78.14,72.018,57.173,49.955,14.24,52.522,12.846,30.013,35.709,10.707,60.1043938305,40.9508449031,41.4508568648,38.5222243875,10.6232638189,53.0948262186,27.125976919,40.5472685303,0.3877669147,-0.9033349491,74.907,31.861,23.844,-5.528445,2.3980832,0.13114268
SM:169_S10_R1_001,47.302,82.768,46.208,55.487,5.84,41.455,24.436,45.8,29.719,13.35,50.2626587546,48.376893667,45.6586865065,38.4979828737,8.8374759564,49.0052268332,30.4284287196,41.2589300672,0.7510692636,0.2634672052,76.261,44.598,24.23,3.2548115,-2.6719482,-4.9352446
SM:16_S28_R1_001,58.481,107.446,81.267,63.31,18.039,62.825,17.557,33.696,37.742,13.509,60.3493775165,52.7361391574,47.6276994952,42.3235056637,11.9224098972,63.8867526013,30.9036001545,48.3193646036,1.3161080035,-0.0320890501,74.963,42.53,23.379,3.1386528,-2.4431539,13.808831
SM:170_S115_R1_001,61.981,61.17,54.942,41.335,9.16,41.014,10.803,37.387,28.059,5.683,52.3798634217,37.0728363841,43.6373091016,34.4860117492,8.7092795992,45.4305630028,24.4120208018,35.0895322868,0.0614062596,-0.1129629018,76.929,39.142,23.593,-4.9403176,-6.9071255,-1.6772223
SM:172_S127_R1_001,41.915,43.346,19.595,32.891,7.532,19.531,8.533,13.792,19.032,5.689,39.8892467785,31.0958276447,27.912227871,30.1463662175,8.2544276802,33.8447060819,15.5634517218,23.604810475,-1.4496591458,-2.1464016793,66.239,27.177,23.344,-1.492506,-1.4709033,-0.38370907
SM:173_S45_R1_001,67.803,55.222,47.933,38.489,13.445,33.187,14.078,35.104,25.01,5.676,51.1551052977,36.6078862637,41.3837240754,33.0108780158,9.9243190068,45.7645697645,23.4179882893,34.5141603427,0.4566496483,-2.0838609909,63.069,31.857,24.095,-1.1730846,-1.8451105,0.3536722
SM:176_S69_R1_001,52.747,57.901,48.91,31.007,8.562,18.306,6.404,14.692,16.622,4.773,41.49773097,34.4148281605,34.2587700799,29.0417865295,8.4472290107,41.131656105,14.6422423517,26.366916955,-1.1209453919,-0.9318253228,69.413,38.246,24.368,1.544451,-1.6999748,2.290305
SM:178_S81_R1_001,74.198,62.884,46.428,43.349,9.966,36.05,11.068,22.55,29.575,6.518,52.785395355,37.6385030712,36.5677630567,35.3717903508,9.0137567378,46.6675731534,21.5450444243,33.7436284092,-0.2157931027,0.3254539966,81.448,39.012,24.299,-4.505731,-5.8091903,2.4681678
SM:17_S480_R1_001,53.155,50.689,48.569,35.966,14.643,39.802,13.398,26.813,31.972,11.934,50.1889282939,35.088632919,38.5507402577,34.0572169253,10.8556440724,43.7582435873,24.4685746003,34.1868767023,-0.3545174053,-0.4707495738,74.639,37.527,23.898,1.9309973,-0.6831778,8.699055
SM:183_S93_R1_001,69.885,99.742,73.932,49.246,15.479,51.657,27.477,36.778,42.345,13.383,58.1225548631,54.4957780776,47.265834034,39.9300278716,11.2117525527,59.3290555353,32.263592896,47.0378251918,1.4404600609,0.5623760091,82.346,40.859,24.177,4.760908,-2.6010575,-3.9842331
SM:184_S104_R1_001,74.11,67.125,53.582,46.822,10.093,41.393,14.525,30.673,31.07,7.415,54.8667469669,40.1898241555,40.9199121242,36.5781278102,9.1430555741,48.8782581477,24.7181404888,36.981236677,0.0651644435,0.0540018968,78.268,39.588,24.007,2.666347,-1.5477238,-3.3354924
SM:186_S116_R1_001,99.48,116.25,68.4,66.642,23.538,62.081,28.595,27.265,39.072,18.51,66.1704750663,58.7896802207,40.8897598178,42.1887019878,13.9571026746,72.0646669143,32.3857465526,54.1080346286,5.0044689958,0.7256838196,81.271,44.183,24.117,1.3496891,-0.6503094,8.240402
SM:187_S15_R1_001,76.196,77.842,52.8,56.722,11.864,67.951,28.643,38.366,44.167,10.511,65.8182395279,48.6503643075,43.4510595956,42.2429780376,9.8791261808,53.3258055803,35.0333912103,46.1180902462,1.5112755095,0.5021509767,77.215,46.372,23.399,1.113286,0.47929806,3.5071237
SM:188_S5_R1_001,61.966,71.726,52.877,47.334,9.946,44.624,15.962,27.678,16.966,9.677,53.8142006218,42.0572798373,39.7354512154,33.332747874,9.3163339908,48.3353742545,23.5067102257,35.9414254657,0.1098263611,0.2792622074,74.443,46.969,24.185,3.7702749,1.4381096,6.7840834
SM:189_S58_R1_001,72.284,72.94,52.279,43.309,7.87,57.298,17.362,30.215,33.333,12.441,60.7866624693,42.9189147673,40.4997645334,36.2389937054,9.0047764015,47.8346925371,28.6975526174,39.1891181663,0.4682665791,1.1872124574,83.936,46.652,23.683,4.372798,0.42516032,-0.7057762
SM:18_S32_R1_001,118.951,144.843,105.508,62.228,32.644,43.185,25.241,45.516,52.497,20.301,64.2257618875,66.3468171314,56.7926047988,45.5802723897,16.6691383834,86.1398541784,34.2971223236,61.0576263887,3.3774273202,-1.5381852865,66.691,34.034,23.584,4.2415304,-2.881388,15.825407
SM:190_S70_R1_001,65.977,76.615,61.225,45.056,16.033,36.438,15.087,28.165,29.995,11.196,51.3422610516,43.1043487987,41.6045684799,35.8907374049,11.1645878354,53.1089556992,24.1291868378,38.4938589242,0.3306877884,-0.0559385901,72.818,44.814,24.788,3.2871876,-2.142069,12.082683
SM:191_S82_R1_001,49.488,60.753,45.623,52.765,11.243,26.168,13.949,18.885,11.384,5.372,44.1520802351,38.1721263389,35.1835687952,33.4432659669,9.2774926163,45.9030033376,17.4776071186,30.7234603312,-0.4836422825,-1.2928495061,65.942,37.871,23.941,3.9521253,-2.561849,9.087316
SM:193_S94_R1_001,58.012,55.971,65.983,43.285,10.142,39.703,14.206,26.008,12.893,2.764,51.083474921,36.8862691903,41.8337134353,31.3344819362,8.7106778912,46.3243978665,20.5039920061,32.8559967494,-0.1724182992,-0.2331002477,75.442,39.476,24.218,-6.478898,3.4506893,3.7327864
SM:194_S105_R1_001,47.974,58.452,53.026,32.745,11.201,41.482,14.767,22.214,27.405,13.475,49.8540719148,37.8165465541,37.8178849828,32.1291347504,10.0318189331,42.822548162,23.8728901313,33.3672182068,-0.3190397706,0.5820393539,82.197,41.276,24.59,-1.6149095,5.04898,0.27421823
SM:195_S117_R1_001,70.659,79.104,80.159,53.972,23.643,46.478,14.406,27.389,24.058,12.134,56.0699641175,42.7911045193,45.2652201782,36.7831934418,13.4485269494,62.5862439179,24.7770907654,42.9785866894,0.9145231055,0.3976776849,78.119,43.967,25.367,4.0136156,2.0676591,-1.3132612
SM:196_S129_R1_001,60.223,69.73,57.213,48.829,10.734,41.259,15.268,27.935,24.062,10.573,52.1442164237,41.2194741723,40.7110751597,35.4243412092,9.6203386175,48.9853672914,23.9834615807,36.5438965611,0.2377694798,0.8033485972,81.971,44.289,24.246,-1.4892155,-7.2996826,-1.746944
SM:198_S130_R1_001,67.773,65.604,48.571,31.509,12.745,38.493,9.841,24.276,25.721,5.157,52.5081167745,38.0124395169,37.6560544092,31.4368733093,9.6792442901,46.0297057398,21.2854107601,33.1384028149,-0.4675700446,0.3747422169,79.232,42.357,24.809,-0.9058078,-3.4370422,-0.771819
SM:199_S141_R1_001,48.26,103.147,52.469,56.176,8.755,27.241,14.237,20.793,10.919,3.843,44.1861488294,50.4954895575,37.1928739717,34.1748926897,8.4209521678,53.0568109685,17.6450157194,34.4238457575,0.0762997974,0.0500423031,78.021,39.808,24.308,-8.529096,8.843671,2.8116505
SM:19_S2_R1_001,68.357,64.49,55.767,44.442,11.523,53.705,14.433,20.063,30.1,8.281,58.7256561542,39.4111904615,37.5839920746,35.7791722934,9.6290374743,48.4179124483,24.824597807,36.7400240487,0.2164756108,-1.1882182382,67.363,37.613,23.828,2.5407953,-2.7838888,17.092184
SM:1_S502_R1_001,66.847,62.986,42.756,43.102,10.963,41.731,11.18,25.427,15.355,4.649,53.6113531013,37.7345028259,36.8825940864,31.8623237115,9.117523228,45.8989627161,20.7631233076,32.859789343,-0.2943279725,0.3002114986,78.445,42.392,24.518,-0.12132964,0.61684555,-0.14980908
SM:200_S153_R1_001,53.743,61.466,60.262,40.503,11.147,36.588,13.375,26.652,36.353,5.704,49.4592083559,38.1460804158,40.8771488891,36.2597438689,9.274531617,46.4477540637,23.5198873754,34.8905871027,-0.0226308602,-0.6159935562,72.126,38.786,24.485,-3.2128384,3.7923865,-3.053822
SM:201_S165_R1_001,47.502,50.06,55.98,37.016,10.719,37.243,9.526,17.909,21.239,4.81,48.0897250249,33.434752434,36.8880736687,31.7479635764,9.0709475016,42.2532467263,19.3045163461,30.005917377,-0.7546831721,-0.4517013055,75.183,37.093,23.545,-2.1906307,3.4285126,-2.2691894
