Plant_ID,col,row,rep,block
1,1,1,1,1
4,1,2,1,1
5,1,3,1,1
6,1,4,1,1
7,1,5,1,1
9,1,6,1,1
12,1,7,1,1
13,1,8,1,1
14,1,9,1,1
15,1,10,1,1
16,1,11,1,1
17,1,12,1,1
18,1,13,1,1
19,1,14,1,1
20,1,15,1,1
22,1,16,1,1
23,1,17,1,1
24,1,18,1,1
25,1,19,1,1
26,2,1,1,2
27,2,2,1,2
28,2,3,1,2
29,2,4,1,2
30,2,5,1,2
32,2,6,1,2
33,2,7,1,2
34,2,8,1,2
36,2,9,1,2
37,2,10,1,2
40,2,11,1,2
41,2,12,1,2
42,2,13,1,2
44,2,14,1,2
46,2,15,1,2
47,2,16,1,2
48,2,17,1,2
49,2,18,1,2
50,2,19,1,2
51,3,1,1,3
52,3,2,1,3
53,3,3,1,3
54,3,4,1,3
55,3,5,1,3
56,3,6,1,3
57,3,7,1,3
59,3,8,1,3
60,3,9,1,3
62,3,10,1,3
63,3,11,1,3
64,3,12,1,3
65,3,13,1,3
66,3,14,1,3
67,3,15,1,3
68,3,16,1,3
69,3,17,1,3
70,3,18,1,3
72,3,19,1,3
74,4,1,1,4
76,4,2,1,4
77,4,3,1,4
79,4,4,1,4
81,4,5,1,4
82,4,6,1,4
83,4,7,1,4
85,4,8,1,4
87,4,9,1,4
88,4,10,1,4
89,4,11,1,4
90,4,12,1,4
92,4,13,1,4
93,4,14,1,4
94,4,15,1,4
95,4,16,1,4
96,4,17,1,4
97,4,18,1,4
98,4,19,1,4
100,5,1,1,5
101,5,2,1,5
104,5,3,1,5
107,5,4,1,5
108,5,5,1,5
111,5,6,1,5
112,5,7,1,5
113,5,8,1,5
115,5,9,1,5
116,5,10,1,5
117,5,11,1,5
118,5,12,1,5
119,5,13,1,5
120,5,14,1,5
121,5,15,1,5
123,5,16,1,5
124,5,17,1,5
125,5,18,1,5
126,5,19,1,5
128,6,1,1,6
129,6,2,1,6
130,6,3,1,6
131,6,4,1,6
133,6,5,1,6
134,6,6,1,6
135,6,7,1,6
138,6,8,1,6
140,6,9,1,6
141,6,10,1,6
143,6,11,1,6
144,6,12,1,6
145,6,13,1,6
146,6,14,1,6
147,6,15,1,6
149,6,16,1,6
150,6,17,1,6
151,6,18,1,6
152,6,19,1,6
153,7,1,1,7
155,7,2,1,7
156,7,3,1,7
157,7,4,1,7
158,7,5,1,7
160,7,6,1,7
161,7,7,1,7
163,7,8,1,7
164,7,9,1,7
166,7,10,1,7
168,7,11,1,7
169,7,12,1,7
170,7,13,1,7
172,7,14,1,7
173,7,15,1,7
175,7,16,1,7
176,7,17,1,7
178,7,18,1,7
183,7,19,1,7
184,8,1,1,8
186,8,2,1,8
187,8,3,1,8
188,8,4,1,8
189,8,5,1,8
190,8,6,1,8
191,8,7,1,8
193,8,8,1,8
194,8,9,1,8
195,8,10,1,8
196,8,11,1,8
198,8,12,1,8
199,8,13,1,8
200,8,14,1,8
201,8,15,1,8
204,8,16,1,8
206,8,17,1,8
207,8,18,1,8
208,8,19,1,8
210,9,1,1,9
211,9,2,1,9
212,9,3,1,9
213,9,4,1,9
214,9,5,1,9
215,9,6,1,9
217,9,7,1,9
218,9,8,1,9
219,9,9,1,9
220,9,10,1,9
223,9,11,1,9
224,9,12,1,9
225,9,13,1,9
226,9,14,1,9
227,9,15,1,9
229,9,16,1,9
230,9,17,1,9
231,9,18,1,9
232,9,19,1,9
233,10,1,1,10
234,10,2,1,10
235,10,3,1,10
236,10,4,1,10
238,10,5,1,10
239,10,6,1,10
240,10,7,1,10
241,10,8,1,10
242,10,9,1,10
243,10,10,1,10
244,10,11,1,10
245,10,12,1,10
247,10,13,1,10
248,10,14,1,10
249,10,15,1,10
250,10,16,1,10
251,10,17,1,10
252,10,18,1,10
253,10,19,1,10
255,11,1,1,11
257,11,2,1,11
258,11,3,1,11
262,11,4,1,11
263,11,5,1,11
264,11,6,1,11
265,11,7,1,11
266,11,8,1,11
267,11,9,1,11
268,11,10,1,11
269,11,11,1,11
271,11,12,1,11
272,11,13,1,11
