Variable,Class,Missing,Levels,Valid_n,Min,Median,Max,Outlier,Text
acc_num,factor,Yes,436,1308,NA,NA,NA,NA,NA
rep,factor,No,3,1311,NA,NA,NA,NA,NA
may_20,numeric,Yes,-,1303,9.6,62.4,310,50,NA
jun_20,numeric,Yes,-,1301,17.33,61,350,65,NA
jul_20,numeric,Yes,-,1303,6,49.33,426,52,NA
aug_20,numeric,Yes,-,1303,5.5,41.33,320,44,NA
sep_20,numeric,Yes,-,1303,0.67,9.67,124,51,NA
may_21,numeric,Yes,-,1301,3.2,40,208,57,NA
jun_21,numeric,Yes,-,1294,0.33,13,98,65,NA
jul_21,numeric,Yes,-,1299,2,24,150,89,NA
aug_21,numeric,Yes,-,1298,1,24.33,246,76,NA
sep_21,numeric,Yes,-,1298,0.33,6,219,111,NA
jun_22,numeric,Yes,-,1294,2.33,57.33,400,86,NA
jul_22,numeric,Yes,-,1293,1.2,32,252,72,NA
aug_22,numeric,Yes,-,1290,0.67,13,255,100,NA
sep_22,numeric,Yes,-,1291,0.67,32.67,195,40,NA
total_20,numeric,Yes,-,1303,88.4,228,1230,82,NA
total_21,numeric,Yes,-,1302,18,110.41,750,70,NA
total_22,numeric,Yes,-,1295,16,135.67,841,83,NA
