"Trait","acc_num","predicted.values","standard.errors","weights"
"may_20","1",66.693,11.954,0.006362344645556
"may_20","4",70.566,11.942,0.00639035712988072
"may_20","5",74.688,11.95,0.00643098147294725
"may_20","6",31.193,14.654,0.00432933009541594
"may_20","7",47.503,11.928,0.00634061588156055
"may_20","9",71.433,11.928,0.00645174168018061
"may_20","12",59.272,11.951,0.00638126890218976
"may_20","13",49.118,11.959,0.00634844657095739
"may_20","14",65.751,11.95,0.00639886779935994
"may_20","15",68.545,11.911,0.00652407034801578
"may_20","16",59.045,11.954,0.0064068309663284
"may_20","17",52.421,11.914,0.00649061421311373
"may_20","18",119.252,11.92,0.00642009357564615
"may_20","19",68.622,11.916,0.006574243618807
"may_20","20",67.842,11.917,0.0065549296399594
"may_20","22",57.343,11.952,0.00669219240050019
"may_20","23",67.82,11.94,0.00656809884285635
"may_20","24",103.563,11.93,0.00666037345441378
"may_20","25",38.974,11.939,0.00661344552891021
"may_20","26",43.402,11.938,0.00637988840316317
"may_20","27",53.959,11.938,0.00645757295646352
"may_20","28",47.237,11.92,0.00644558597019458
"may_20","29",37.46,11.92,0.00657068123676951
"may_20","30",60.601,11.932,0.00637403497868234
"may_20","32",60.758,11.913,0.00652497354127359
"may_20","33",47.524,11.945,0.00660293097167042
"may_20","34",47.167,11.911,0.00653191230746039
"may_20","36",79.744,11.915,0.00642671067214503
"may_20","37",58.468,11.907,0.00651321452175087
"may_20","40",45.042,11.949,0.00659380390451502
"may_20","41",63.674,11.929,0.00650692195159607
"may_20","42",51.127,11.921,0.00659485878246089
"may_20","44",63.75,11.929,0.00651943189976178
"may_20","46",75.268,11.906,0.00646682111865201
"may_20","47",61.652,11.923,0.00660187974049881
"may_20","48",51.299,11.91,0.00652317547060079
"may_20","49",56.23,11.908,0.00655811884999704
"may_20","50",70.002,11.918,0.00661803114308288
"may_20","51",69.143,11.934,0.00639204682463273
"may_20","52",51.685,11.928,0.00642561711905609
"may_20","53",71.583,11.948,0.00647271710824906
"may_20","54",55.02,11.961,0.00637372592507945
"may_20","55",57.357,11.922,0.00647013906180956
"may_20","56",65.203,11.95,0.00642306275260651
"may_20","57",68.867,11.928,0.00655235940308093
"may_20","59",39.907,11.928,0.00658089778336333
"may_20","60",45.348,14.582,0.0044462692868141
"may_20","62",58.501,11.927,0.00633090028624031
"may_20","63",97.366,11.93,0.00634465932181772
"may_20","64",72.866,11.91,0.00656598047777057
"may_20","65",76.449,11.938,0.00652139291918662
"may_20","66",55.414,11.938,0.00659500584318433
"may_20","67",63.189,11.922,0.00664375306950189
"may_20","68",85.919,20.648,0.00228284481330994
"may_20","69",52.978,11.906,0.00656901078609885
"may_20","70",75.711,11.921,0.00658882728266685
"may_20","72",55.185,11.912,0.00653178213421796
"may_20","74",66.129,11.951,0.00637886965136434
"may_20","76",141.053,20.718,0.00226502620031373
"may_20","77",55.944,11.929,0.00649925845775933
"may_20","79",46.541,11.909,0.0064846792332534
"may_20","81",64.353,11.917,0.00646697379074777
"may_20","82",69.351,11.916,0.00641660514872002
"may_20","83",83.346,11.928,0.00657099855653247
"may_20","85",57.778,11.952,0.0062985942725938
"may_20","87",72.838,11.92,0.00657049821064776
"may_20","88",64.595,11.914,0.00650688335565468
"may_20","89",31.661,11.898,0.00655330114554259
