"Trait","acc_num","predicted.values","standard.errors"
"may_20","1",65.604,6.147
"may_20","4",66.269,6.147
"may_20","5",67.329,6.146
"may_20","6",56.539,6.48
"may_20","7",58.866,6.145
"may_20","9",67.031,6.145
"may_20","12",62.056,6.145
"may_20","13",59.992,6.143
"may_20","14",64.541,6.146
"may_20","15",64.742,6.143
"may_20","16",62.074,6.146
"may_20","17",59.674,6.144
"may_20","18",69.453,6.476
"may_20","19",65.155,6.144
"may_20","20",64.954,6.142
"may_20","22",61.982,6.146
"may_20","23",64.46,6.144
"may_20","24",67.834,6.477
"may_20","25",55.8,6.144
"may_20","26",58.427,6.146
"may_20","27",61.315,6.145
"may_20","28",59.081,6.145
"may_20","29",56.271,6.148
"may_20","30",63.156,6.146
"may_20","32",62.449,6.142
"may_20","33",59.797,6.147
"may_20","34",59.452,6.145
"may_20","36",69.595,6.144
"may_20","37",62.07,6.143
"may_20","40",58.459,6.145
"may_20","41",63.83,6.144
"may_20","42",60.8,6.144
"may_20","44",64.394,6.143
"may_20","46",67.956,6.142
"may_20","47",62.81,6.144
"may_20","48",60.269,6.142
"may_20","49",61.366,6.144
"may_20","50",65.953,6.143
"may_20","51",65.995,6.145
"may_20","52",60.175,6.146
"may_20","53",66.405,6.145
"may_20","54",61.264,6.146
"may_20","55",61.873,6.146
"may_20","56",63.727,6.144
"may_20","57",64.68,6.144
"may_20","59",56.584,6.145
"may_20","60",59.762,6.478
"may_20","62",62.309,6.144
"may_20","63",73.369,6.145
"may_20","64",66.377,6.142
"may_20","65",67.558,6.144
"may_20","66",61.302,6.144
"may_20","67",63.61,6.146
"may_20","68",64.11,6.478
"may_20","69",60.413,6.143
"may_20","70",66.169,6.144
"may_20","72",61.279,6.144
"may_20","74",64.308,6.144
"may_20","76",62.81,6.874
"may_20","77",61.592,6.144
"may_20","79",58.589,6.142
"may_20","81",63.398,6.143
"may_20","82",66.167,6.145
"may_20","83",70.454,6.143
"may_20","85",62.323,6.145
"may_20","87",66.975,6.146
