cons,acc,acc_num,col,row,rep,may_20,jun_20,jul_20,aug_20,sep_20,may_21,jun_21,jul_21,aug_21,sep_21,jun_22,jul_22,aug_22,sep_22,total_20,total_21,total_22
1,1_10B-75A-,1,1,1,1,73.00,67.67,16.00,25.33,9.67,30.67,5.00,3.00,3.00,10.33,60.00,79.67,31.67,18.33,191.67,52.00,189.67
2,4_10D-77A-14,4,1,2,1,64.67,52.00,12.67,31.00,13.33,37.67,16.00,17.33,16.33,7.67,74.33,54.33,15.67,27.00,173.67,95.00,171.33
3,5_10D-77A-11,5,1,3,1,59.00,46.50,7.50,8.00,13.50,15.50,8.00,4.00,24.50,2.50,33.00,14.67,3.33,62.67,134.50,54.50,113.67
4,6_10D-77A-12,6,1,4,1,9.60,42.40,20.40,12.00,4.00,22.00,3.20,5.60,12.00,1.20,19.40,15.60,3.60,38.00,88.40,44.00,76.60
5,7_10E-78A-1,7,1,5,1,35.00,36.00,15.67,12.00,3.00,14.67,3.33,5.00,13.67,4.33,22.33,14.00,11.17,28.33,101.67,41.00,75.83
6,9_11F-86A-2,9,1,6,1,75.60,35.20,18.80,9.20,2.80,24.00,4.00,7.20,18.80,1.60,70.40,16.80,6.20,46.00,141.60,55.60,139.40
7,12_11B-82A-10,12,1,7,1,47.67,47.33,21.00,16.33,4.33,11.00,5.67,6.00,14.00,4.00,24.33,14.00,2.33,38.33,136.67,40.67,79.00
8,13_11B-82A-18,13,1,8,1,36.33,35.33,34.00,18.00,9.33,9.33,3.67,14.00,20.00,2.33,19.00,27.00,19.00,60.00,133.00,49.33,125.00
9,14_11F-86A-11,14,1,9,1,85.33,67.00,36.00,29.33,6.67,35.33,9.67,18.33,23.00,7.67,57.60,38.40,5.60,45.20,224.33,94.00,146.80
10,15_13A-95A-1,15,1,10,1,111.00,63.00,21.67,17.00,7.33,23.00,2.30,6.33,15.00,2.33,70.33,20.33,8.00,30.67,220.00,48.97,129.33
