acc_num,rep,may_20,jun_20,jul_20,aug_20,sep_20,may_21,jun_21,jul_21,aug_21,sep_21,jun_22,jul_22,aug_22,sep_22,total_20,total_21,total_22
1,1,73,67.67,16,25.33,9.67,30.67,5,3,3,10.33,60,79.67,31.67,18.33,191.67,52,189.67
4,1,64.67,52,12.67,31,13.33,37.67,16,17.33,16.33,7.67,74.33,54.33,15.67,27,173.67,95,171.33
5,1,59,46.5,7.5,8,13.5,15.5,8,4,24.5,2.5,33,14.67,3.33,62.67,134.5,54.5,113.67
6,1,9.6,42.4,20.4,12,4,22,3.2,5.6,12,1.2,19.4,15.6,3.6,38,88.4,44,76.6
7,1,35,36,15.67,12,3,14.67,3.33,5,13.67,4.33,22.33,14,11.17,28.33,101.67,41,75.83
9,1,75.6,35.2,18.8,9.2,2.8,24,4,7.2,18.8,1.6,70.4,16.8,6.2,46,141.6,55.6,139.4
12,1,47.67,47.33,21,16.33,4.33,11,5.67,6,14,4,24.33,14,2.33,38.33,136.67,40.67,79
13,1,36.33,35.33,34,18,9.33,9.33,3.67,14,20,2.33,19,27,19,60,133,49.33,125
14,1,85.33,67,36,29.33,6.67,35.33,9.67,18.33,23,7.67,57.6,38.4,5.6,45.2,224.33,94,146.8
15,1,111,63,21.67,17,7.33,23,2.3,6.33,15,2.33,70.33,20.33,8,30.67,220,48.97,129.33
16,1,41,55.67,24,25,7.33,23.67,4.7,12,20,4.33,72,13.33,11.33,46,153,64.7,142.67
17,1,76.67,49.67,49,23.33,8.33,31.67,4.67,12.67,19,3.33,26,14,12.67,50.33,207,71.33,103
18,1,114.67,107.33,127.33,36,20.67,22.67,3.33,16,19.33,4.67,67.33,27.33,10,104,406,66,208.67
19,1,75,45,25.33,21.67,8.67,40,6.67,15,18.33,2.67,40,29,7,32,175.67,82.67,108
20,1,53.33,57.33,54,16.33,3.33,25,2.67,7.67,13.67,4.67,34.67,16,6.33,36.67,184.33,53.67,93.67
22,1,46.67,63.67,26.33,18.33,3.67,30.67,5.33,12.33,18.67,6,65.33,25.33,10,35,158.67,73,135.67
23,1,78.33,47.33,36.67,15,4.67,14.67,3.33,4,1,0.67,25,16.67,6.67,35,182,23.67,83.33
24,1,75.2,64,42,9.2,4,9.2,4,2,1.6,1.2,43.33,10,NA,NA,194.4,18,53.33
25,1,37.33,50.33,21,32,13.33,33.33,6,4.67,7.33,2.33,17.83,33.33,15,15,154,53.67,81.17
26,1,68,48.33,21,32,4.67,35.33,20.67,17.33,40,9.33,45.6,40.8,17.6,17.2,174,122.67,121.2
27,1,45.67,66.33,27.33,49.67,15,38.33,30.33,19.33,27,20,13,27.33,24,44.8,204,135,109.13
28,1,35.6,44.8,22,28.4,22,24.4,9.6,12.4,14.8,5.2,105.5,12.5,7,17.5,152.8,66.4,142.5
29,1,32.4,52,36.8,23.6,8.4,21.6,3.6,11.6,11.6,3.6,15.2,17.6,2.4,8,153.2,52,43.2
30,1,53.67,50,17.33,36,10,24.33,9.67,13.33,16.33,5.33,16.33,19.33,10,17,167,69,62.67
32,1,48.33,41.33,34.33,37,10,35.67,12.67,22.67,28,7,49.33,32.33,13.67,36.33,171,106,131.67
33,1,44,49.67,37.33,24.67,5.33,19.33,8.67,18,18.33,7.67,51.67,28,11,36.33,161,72,127
34,1,58.33,64.33,45,27.33,14,39.33,9.67,12.33,18.67,4,77.2,24,6,20,209,84,127.2
36,1,57.67,60,24,29.67,9.33,27,9.33,15.67,15.33,3,56,20.67,7.67,31.67,180.67,70.33,116
37,1,30.33,31,34.67,34.33,10.33,22.33,10.33,17,19.67,13.33,39.33,23.67,7.67,19,140.67,82.67,89.67
40,1,52.8,65.2,29.2,26,6.8,22.8,8,14.8,17.6,1.2,62,15.6,5.6,22.6,180,64.4,105.8
41,1,40,31.2,9.2,39.2,4,32.4,13.2,15.6,23.2,6,51.6,26.8,12.4,27,123.6,90.4,117.8
42,1,34.67,31.67,31.67,34.67,5.67,26.33,10.67,14.67,18.67,4.33,33,22,6.67,25.67,138.33,74.67,87.33
44,1,55,52,29.67,38.67,7.33,27.67,3.67,15,18,1.33,40.8,22,5.6,24.8,182.67,65.67,93.2
46,1,65.6,85.6,38,47.6,8.4,41.2,18.4,26.4,26.4,7.6,40.8,30.8,6.4,45.4,245.2,120,123.4
47,1,63,43.67,33,35.33,8,25.67,7,12,14.67,3.33,33,15.33,3,17.5,183,62.67,68.83
48,1,37.6,58.8,34.4,47.2,20.8,39.2,16.4,16.8,23.2,2,32.4,23.2,13.6,30.4,198.8,97.6,99.6
49,1,61.67,91,36.67,49.67,12.33,43,13,22.67,28,8,68.67,33.33,21,43.33,251.33,114.67,166.33
50,1,71.6,66,16,53.2,27.2,66.8,20.4,26,34.4,1.6,110.4,49.4,28,38.8,234,149.2,226.6
51,1,77,64.67,29.67,40.67,8,46.33,14.67,19.33,28.67,16,44.67,49.33,50,35.33,220,125,179.33
52,1,26.67,47,36,37,13.33,30.33,24.33,32.33,25.33,14.33,82.67,24,17.67,44,160,126.67,168.33
53,1,71.33,61,13,42.33,23,42.33,14.33,25,21,2,2.33,35.33,11.33,26.67,210.67,104.67,75.67
54,1,68.33,57.33,6,43.67,7.33,24.33,11.67,15.33,20.33,6.33,42.67,18,11.33,19.67,182.67,78,91.67
55,1,53.33,37,28.33,35,15.33,22,10.33,13.67,18,4,29.67,19.33,12.33,24.33,169,68,85.67
56,1,54.67,62.67,18.33,39,12.67,29.33,9.67,15,20.67,4,38,24.33,9,29.33,187.33,78.67,100.67
57,1,75.67,66.33,8.33,34.67,7.33,40.33,17,29.67,28.33,10.67,67.33,36.67,14.67,48.67,192.33,126,167.33
59,1,73,46.33,32.33,24.67,19,18.67,6,13.67,18,5.33,46,17,3.67,22,195.33,61.67,88.67
60,1,154,60,55.33,46,27.33,46,16,12,18,1.33,32,16.67,12,14,342.67,93.33,74.67
62,1,56.67,43.67,19,55.33,9,42.33,17,35,35,10,55.33,45.33,8,50.67,183.67,139.33,159.33
63,1,85.33,60.67,36.67,52.67,14,44.67,17.33,26,27,6,45,29.33,21.33,34.33,249.33,121,130
64,1,77.67,70,46.33,53.67,17.67,46.33,19,24,29.33,5,69.33,32.67,16,38.33,265.33,123.67,156.33
65,1,77.33,56.33,44.67,37.33,18.67,40.67,11,24.33,26,7.67,60.83,21,8.33,34,234.33,109.67,124.17
66,1,60,64.33,46.33,59.67,14,34,13.67,19.67,23,3.67,57.5,26.67,11,31,244.33,94,126.17
67,1,108.4,73.6,67.6,35.2,15.6,32.4,9.2,16,18.8,1.2,43.2,20,6,25.6,300.4,77.6,94.8
68,1,47,36,15.67,33,12,24.67,10.67,16,17,4,51,18.33,6.17,27.2,143.67,72.33,102.7
69,1,52.67,34,21.67,34,9.33,23.33,8.33,11.33,15.67,3.33,40.33,24,4.17,21.67,151.67,62,90.17
70,1,72.67,46,46.33,38.67,14,36.67,11,21.33,17.67,2.33,26.33,31.33,11,24.67,217.67,89,93.33
72,1,73,65.33,63.33,58.67,21,75.33,26.33,25,30.67,3,149.33,59.33,21.33,60,281.33,160.33,290
74,1,56.67,62.67,41,35,11.33,56.67,20.67,6,34,12.67,48,40,33.33,52.33,206.67,130,173.67
76,1,215,88,71,101,21,10,44,20,57,53,199,62,39,51,496,184,351
77,1,22.33,29,25,18.33,14.67,25,6.33,12,16.33,2.67,29,16,5.33,18.4,109.33,62.33,68.73
79,1,47.67,36,25,29.33,10,26.67,12,20,19,6.33,19,10,6,17,148,84,52
81,1,45.67,72.67,20.33,47,11.33,38.67,11.33,21.33,28.33,3.67,33.33,38.67,12.33,33,197,103.33,117.33
82,1,73.33,44.67,37.33,36.67,6.67,26.33,13.33,21.33,22.33,14.67,63.6,32.8,10,33.2,198.67,98,139.6
83,1,82,48.33,39.33,28.67,7,26,8.33,18.67,19.67,7.33,51,18.67,6,20.67,205.33,80,96.33
85,1,53.67,44.67,44,44.67,14.67,34,6.67,22.33,22,9.67,55.5,29.5,22.5,39.6,201.67,94.67,147.1
87,1,71.33,56.67,35.67,46.67,12,40.67,17,18.67,32.67,6,72.33,32,16.67,47.67,222.33,115,168.67
88,1,66,45,16.67,36.67,15.67,33.33,13.33,17.33,24,11,47,31.67,4,37.33,180,99,120
89,1,36.67,34,44,24,6.67,17.67,4.67,7.33,9,4,34.4,8,2.4,13.6,145.33,42.67,58.4
90,1,41.67,44,22,33.67,11.33,20.33,7,13,18.67,1,30.33,19.33,4.67,19,152.67,60,73.33
92,1,71.33,48,52.67,38.67,6,33.67,12.33,17,25.33,5.33,49,19.33,8.33,30.33,216.67,93.67,107
93,1,65,50,18.67,43.33,13.67,43,12.67,26.33,29.33,12.33,55,27,12.67,50.5,190.67,123.67,145.17
94,1,70.33,58.67,24,44,12.33,48,12.67,15.67,27.33,3,61,29.67,13.67,39,209.33,106.67,143.33
95,1,53.67,57,75.67,55.33,21.33,34.67,13.67,19.33,21.33,5.67,72,17.67,9.33,31,263,94.67,130
96,1,51.67,61.33,34.67,39.67,11,39.33,15.67,19.67,22,8,62.33,38,12.33,34.67,198.33,104.67,147.33
97,1,48,56,29.6,61.2,10.4,33.6,6,14,13.6,4.4,40.4,19.6,5.6,26,205.2,71.6,91.6
