cons,plot,acc,acc_num,col,row,rep,block,may_20,jun_20,jul_20,aug_20,sep_20,may_21,jun_21,jul_21,aug_21,sep_21,jun_22,jul_22,aug_22,sep_22,total_20,total_21,total_22,may_23,jun_23,jul_23,aug_23
1,1001,1_10B-75A-,1,1,1,1,1,0.73,0.68,0.16,0.25,0.10,0.31,0.05,0.03,0.03,0.10,0.60,0.80,0.32,0.18,1.92,0.52,1.90,0.69,0.16,0.33,0.11
2,1002,4_10D-77A-14,4,1,2,1,1,0.65,0.52,0.13,0.31,0.13,0.38,0.16,0.17,0.16,0.08,0.74,0.54,0.16,0.27,1.74,0.95,1.71,0.52,0.33,0.30,0.11
3,1003,5_10D-77A-11,5,1,3,1,1,0.59,0.47,0.08,0.08,0.14,0.16,0.08,0.04,0.25,0.03,0.33,0.15,0.03,0.63,1.35,0.55,1.14,0.32,0.07,0.37,0.20
4,1004,6_10D-77A-12,6,1,4,1,1,0.10,0.42,0.20,0.12,0.04,0.22,0.03,0.06,0.12,0.01,0.19,0.16,0.04,0.38,0.88,0.44,0.77,0.18,0.10,0.39,0.14
5,1005,7_10E-78A-1,7,1,5,1,1,0.35,0.36,0.16,0.12,0.03,0.15,0.03,0.05,0.14,0.04,0.22,0.14,0.11,0.28,1.02,0.41,0.76,0.39,0.08,0.23,0.08
6,1006,9_11F-86A-2,9,1,6,1,1,0.76,0.35,0.19,0.09,0.03,0.24,0.04,0.07,0.19,0.02,0.70,0.17,0.06,0.46,1.42,0.56,1.39,0.27,0.05,0.22,0.12
7,1007,12_11B-82A-10,12,1,7,1,1,0.48,0.47,0.21,0.16,0.04,0.11,0.06,0.06,0.14,0.04,0.24,0.14,0.02,0.38,1.37,0.41,0.79,0.51,0.13,0.36,0.09
8,1008,13_11B-82A-18,13,1,8,1,1,0.36,0.35,0.34,0.18,0.09,0.09,0.04,0.14,0.20,0.02,0.19,0.27,0.19,0.60,1.33,0.49,1.25,0.87,0.29,0.38,0.37
9,1009,14_11F-86A-11,14,1,9,1,1,0.85,0.67,0.36,0.29,0.07,0.35,0.10,0.18,0.23,0.08,0.58,0.38,0.06,0.45,2.24,0.94,1.47,0.63,0.35,0.50,0.12
10,1010,15_13A-95A-1,15,1,10,1,1,1.11,0.63,0.22,0.17,0.07,0.23,0.02,0.06,0.15,0.02,0.70,0.20,0.08,0.31,2.20,0.49,1.29,0.45,0.11,0.33,0.15
11,1011,16_13C-96A-1,16,1,11,1,1,0.41,0.56,0.24,0.25,0.07,0.24,0.05,0.12,0.20,0.04,0.72,0.13,0.11,0.46,1.53,0.65,1.43,0.34,0.11,0.13,0.11
12,1012,17_13D-97A-1,17,1,12,1,1,0.77,0.50,0.49,0.23,0.08,0.32,0.05,0.13,0.19,0.03,0.26,0.14,0.13,0.50,2.07,0.71,1.03,0.36,0.16,0.18,0.10
13,1013,18_13D-97A-2,18,1,13,1,1,1.15,1.07,1.27,0.36,0.21,0.23,0.03,0.16,0.19,0.05,0.67,0.27,0.10,1.04,4.06,0.66,2.09,0.56,0.12,0.20,0.21
14,1014,19_13F-99A-2,19,1,14,1,1,0.75,0.45,0.25,0.22,0.09,0.40,0.07,0.15,0.18,0.03,0.40,0.29,0.07,0.32,1.76,0.83,1.08,0.60,0.23,0.32,0.03
15,1015,20_14C-104A-8,20,1,15,1,1,0.53,0.57,0.54,0.16,0.03,0.25,0.03,0.08,0.14,0.05,0.35,0.16,0.06,0.37,1.84,0.54,0.94,0.59,0.13,0.45,0.08
16,1016,22_14K-107A-2,22,1,16,1,1,0.47,0.64,0.26,0.18,0.04,0.31,0.05,0.12,0.19,0.06,0.65,0.25,0.10,0.35,1.59,0.73,1.36,0.44,0.16,0.33,0.06
17,1017,23_15I-114A-1,23,1,17,1,1,0.78,0.47,0.37,0.15,0.05,0.15,0.03,0.04,0.01,0.01,0.25,0.17,0.07,0.35,1.82,0.24,0.83,0.20,0.07,0.17,0.08
18,1018,24_15A-108A-1,24,1,18,1,1,0.75,0.64,0.42,0.09,0.04,0.09,0.04,0.02,0.02,0.01,0.43,0.10,NA,NA,1.94,0.18,0.53,NA,NA,NA,NA
19,1019,25_15A-108A-9,25,1,19,1,1,0.37,0.50,0.21,0.32,0.13,0.33,0.06,0.05,0.07,0.02,0.18,0.33,0.15,0.15,1.54,0.54,0.81,0.47,0.27,0.17,NA
20,1020,26_15B-109A-1,26,2,1,1,2,0.68,0.48,0.21,0.32,0.05,0.35,0.21,0.17,0.40,0.09,0.46,0.41,0.18,0.17,1.74,1.23,1.21,0.35,0.70,0.12,0.12
21,1021,27_15D-110A-1,27,2,2,1,2,0.46,0.66,0.27,0.50,0.15,0.38,0.30,0.19,0.27,0.20,0.13,0.27,0.24,0.45,2.04,1.35,1.09,0.91,0.48,0.42,0.10
