cons,plot,acc,acc_num,col,row,rep,block,may_20,jun_20,jul_20,aug_20,sep_20,may_21,jun_21,jul_21,aug_21,sep_21,jun_22,jul_22,aug_22,sep_22,may_23,jun_23,jul_23,aug_23,total_20,total_21,total_22,total_23
1,1001,1_10B-75A-,1,1,1,1,1,0.73,0.676666667,0.16,0.253333333,0.096666667,0.306666667,0.05,0.03,0.03,0.103333333,0.6,0.796666667,0.316666667,0.183333333,0.686666667,0.156666667,0.333333333,0.113333333,1.916666667,0.52,1.896666667,1.29
2,1002,4_10D-77A-14,4,1,2,1,1,0.646666667,0.52,0.126666667,0.31,0.133333333,0.376666667,0.16,0.173333333,0.163333333,0.076666667,0.743333333,0.543333333,0.156666667,0.27,0.523333333,0.33,0.3,0.113333333,1.736666667,0.95,1.713333333,1.266666667
3,1003,5_10D-77A-11,5,1,3,1,1,0.59,0.465,0.075,0.08,0.135,0.155,0.08,0.04,0.245,0.025,0.33,0.146666667,0.033333333,0.626666667,0.32,0.066666667,0.366666667,0.2,1.345,0.545,1.136666667,0.953333333
4,1004,6_10D-77A-12,6,1,4,1,1,0.096,0.424,0.204,0.12,0.04,0.22,0.032,0.056,0.12,0.012,0.194,0.156,0.036,0.38,0.184,0.1,0.392,0.136,0.884,0.44,0.766,0.812
5,1005,7_10E-78A-1,7,1,5,1,1,0.35,0.36,0.156666667,0.12,0.03,0.146666667,0.033333333,0.05,0.136666667,0.043333333,0.223333333,0.14,0.111666667,0.283333333,0.393333333,0.076666667,0.233333333,0.083333333,1.016666667,0.41,0.758333333,0.786666667
6,1006,9_11F-86A-2,9,1,6,1,1,0.756,0.352,0.188,0.092,0.028,0.24,0.04,0.072,0.188,0.016,0.704,0.168,0.062,0.46,0.268,0.048,0.224,0.124,1.416,0.556,1.394,0.664
7,1007,12_11B-82A-10,12,1,7,1,1,0.476666667,0.473333333,0.21,0.163333333,0.043333333,0.11,0.056666667,0.06,0.14,0.04,0.243333333,0.14,0.023333333,0.383333333,0.51,0.125,0.355,0.086666667,1.366666667,0.406666667,0.79,1.076666667
8,1008,13_11B-82A-18,13,1,8,1,1,0.363333333,0.353333333,0.34,0.18,0.093333333,0.093333333,0.036666667,0.14,0.2,0.023333333,0.19,0.27,0.19,0.6,0.87,0.29,0.375,0.3725,1.33,0.493333333,1.25,1.9075
9,1009,14_11F-86A-11,14,1,9,1,1,0.853333333,0.67,0.36,0.293333333,0.066666667,0.353333333,0.096666667,0.183333333,0.23,0.076666667,0.576,0.384,0.056,0.452,0.628,0.345,0.5,0.12,2.243333333,0.94,1.468,1.593
10,1010,15_13A-95A-1,15,1,10,1,1,1.11,0.63,0.216666667,0.17,0.073333333,0.23,0.023,0.063333333,0.15,0.023333333,0.703333333,0.203333333,0.08,0.306666667,0.45,0.11,0.333333333,0.153333333,2.2,0.489666667,1.293333333,1.046666667
11,1011,16_13C-96A-1,16,1,11,1,1,0.41,0.556666667,0.24,0.25,0.073333333,0.236666667,0.047,0.12,0.2,0.043333333,0.72,0.133333333,0.113333333,0.46,0.343333333,0.106666667,0.133333333,0.113333333,1.53,0.647,1.426666667,0.696666667
12,1012,17_13D-97A-1,17,1,12,1,1,0.766666667,0.496666667,0.49,0.233333333,0.083333333,0.316666667,0.046666667,0.126666667,0.19,0.033333333,0.26,0.14,0.126666667,0.503333333,0.356666667,0.16,0.183333333,0.1,2.07,0.713333333,1.03,0.8
13,1013,18_13D-97A-2,18,1,13,1,1,1.146666667,1.073333333,1.273333333,0.36,0.206666667,0.226666667,0.033333333,0.16,0.193333333,0.046666667,0.673333333,0.273333333,0.1,1.04,0.56,0.12,0.2,0.206666667,4.06,0.66,2.086666667,1.086666667
14,1014,19_13F-99A-2,19,1,14,1,1,0.75,0.45,0.253333333,0.216666667,0.086666667,0.4,0.066666667,0.15,0.183333333,0.026666667,0.4,0.29,0.07,0.32,0.6,0.232,0.32,0.032,1.756666667,0.826666667,1.08,1.184
15,1015,20_14C-104A-8,20,1,15,1,1,0.533333333,0.573333333,0.54,0.163333333,0.033333333,0.25,0.026666667,0.076666667,0.136666667,0.046666667,0.346666667,0.16,0.063333333,0.366666667,0.59,0.133333333,0.45,0.08,1.843333333,0.536666667,0.936666667,1.253333333
16,1016,22_14K-107A-2,22,1,16,1,1,0.466666667,0.636666667,0.263333333,0.183333333,0.036666667,0.306666667,0.053333333,0.123333333,0.186666667,0.06,0.653333333,0.253333333,0.1,0.35,0.436666667,0.16,0.33,0.063333333,1.586666667,0.73,1.356666667,0.99
17,1017,23_15I-114A-1,23,1,17,1,1,0.783333333,0.473333333,0.366666667,0.15,0.046666667,0.146666667,0.033333333,0.04,0.01,0.006666667,0.25,0.166666667,0.066666667,0.35,0.2,0.073333333,0.166666667,0.076666667,1.82,0.236666667,0.833333333,0.516666667
18,1018,24_15A-108A-1,24,1,18,1,1,0.752,0.64,0.42,0.092,0.04,0.092,0.04,0.02,0.016,0.012,0.433333333,0.1,NA,NA,NA,NA,NA,NA,1.944,0.18,0.533333333,NA
19,1019,25_15A-108A-9,25,1,19,1,1,0.373333333,0.503333333,0.21,0.32,0.133333333,0.333333333,0.06,0.046666667,0.073333333,0.023333333,0.178333333,0.333333333,0.15,0.15,0.473333333,0.266666667,0.173333333,NA,1.54,0.536666667,0.811666667,0.913333333
20,1020,26_15B-109A-1,26,2,1,1,2,0.68,0.483333333,0.21,0.32,0.046666667,0.353333333,0.206666667,0.173333333,0.4,0.093333333,0.456,0.408,0.176,0.172,0.35,0.7,0.124,0.12,1.74,1.226666667,1.212,1.294
21,1021,27_15D-110A-1,27,2,2,1,2,0.456666667,0.663333333,0.273333333,0.496666667,0.15,0.383333333,0.303333333,0.193333333,0.27,0.2,0.13,0.273333333,0.24,0.448,0.906,0.476,0.42,0.1,2.04,1.35,1.091333333,1.902
22,1022,28_15F-112A-8,28,2,3,1,2,0.356,0.448,0.22,0.284,0.22,0.244,0.096,0.124,0.148,0.052,1.055,0.125,0.07,0.175,0.38,0.12,0.4,0.105,1.528,0.664,1.425,1.005
23,1023,29_15G-113A-15,29,2,4,1,2,0.324,0.52,0.368,0.236,0.084,0.216,0.036,0.116,0.116,0.036,0.152,0.176,0.024,0.08,0.3,0.035,0.105,0.044,1.532,0.52,0.432,0.484
24,1024,30_15G-113A-1,30,2,5,1,2,0.536666667,0.5,0.173333333,0.36,0.1,0.243333333,0.096666667,0.133333333,0.163333333,0.053333333,0.163333333,0.193333333,0.1,0.17,0.413333333,0.103333333,0.063333333,0.106666667,1.67,0.69,0.626666667,0.686666667
25,1025,32_15J-115A-2,32,2,6,1,2,0.483333333,0.413333333,0.343333333,0.37,0.1,0.356666667,0.126666667,0.226666667,0.28,0.07,0.493333333,0.323333333,0.136666667,0.363333333,0.563333333,0.07,0.096666667,0.08,1.71,1.06,1.316666667,0.81
