cons,plot,acc,cage_id,col,row,rep,sep_21,may_22,jul_22,aug_22,sep_22,may_23,jun_23,jul_23,aug_23
1,1001,Plot 1,1,1,1,1,0.48,0.54,2.35,1.3,0.78,1.14,0.77,0.44,1.27
2,1002,Plot 2,2,1,2,1,0.25,1.42,2.3,1.71,1.13,2.63,0.89,0.63,1.91
3,1003,Plot 3,3,1,3,1,0.25,2.04,2.29,1.42,0.85,1.03,0.98,0.45,1.82
4,1004,Plot 4,4,1,4,1,0.58,1.86,2.29,1.38,0.78,0.67,0.41,0.18,1.4
5,1005,Plot 5,5,1,5,1,0.35,0.24,4.3,0.53,0.21,1.02,0.29,0.12,1.53
6,1006,Plot 6,6,1,6,1,0.58,2.93,0.97,2.12,1.21,2.25,0.94,0.76,2.3
7,1007,Plot 7,7,1,7,1,0.35,1.77,2.8,1.53,0.94,1.94,1.12,0.83,2.13
8,1008,Plot 8,8,1,8,1,0.15,0.88,1.92,0.73,0.57,0.95,0.31,0.34,1.71
9,1009,Plot 9,9,1,9,1,0.28,1.6,0.94,1.61,1.11,2.25,1.18,0.72,2.03
10,1010,Plot 10,10,1,10,1,0.40,2.7,2.33,1.53,1.05,0.9,1.05,0.825,1.98
11,1011,Plot 11,11,1,11,1,0.55,2.86,2.24,1.8,1.16,0.08,1.45,0.545,1.95
12,1012,Plot 12,12,1,12,1,0.65,1.8,2.66,1.23,0.55,4.94,0.47,0.3,1.66
13,1013,Plot 13,13,1,13,1,0.53,1.54,1.98,1.1,0.54,1.69,0.75,0.32,1.56
14,1014,Plot 14,14,1,14,1,0.60,1.85,1.45,1.65,0.75,2.05,0.11,0.06,1.56
15,1015,Plot 15,15,1,15,1,0.50,2.42,2.88,1.76,1.1,2.9,1.56,0.49,1.89
16,1016,Plot 16,16,1,16,1,0.43,1,2.43,0.85,0.6,0.89,0.57,0.45,NA
17,1017,Plot 17,17,1,17,1,0.63,1.675,1.2,1.02,0.79,1.88,0.82,0.34,1.75
18,1018,Plot 18,18,1,18,1,0.45,1.26,4.32,1.3,1.26,2.72,1.66,0.58,3.3
19,1019,Plot 19,19,1,19,1,0.33,0.59,0.9,0.92,0.69,1.32,0.79,0.39,1.65
20,1020,Plot 20,20,1,20,1,0.63,1.25,1.35,0.66,0.49,1.3,0.59,0.37,1.65
21,1021,Plot 21,21,1,21,1,0.38,0.9,1.37,0.13,0.17,1.15,0.44,0.05,1.63
22,1022,Plot 22,22,1,22,1,0.45,0.475,0.49,0.91,0.93,2.1,0.88,0.59,1.65
23,1023,Plot 23,23,1,23,1,0.60,2.53,1.81,1.81,1.31,1.555,1.4,0.655,1.93
24,1024,Plot 24,24,1,24,1,0.43,0.05,0.42,0.12,0.15,0.765,0.27,0.035,1.41
25,1025,Plot 25,25,1,25,1,0.33,0.725,1.22,1.24,0.93,1.62,0.76,0.65,1.84
26,1026,Plot 26,26,1,26,1,0.53,0.69,1.51,1.32,0.91,1.54,0.89,0.52,1.75
27,1027,Plot 27,27,1,27,1,0.55,1.575,2.02,1.57,1.15,2.12,1.18,0.66,1.93
28,1028,Plot 28,28,1,28,1,0.60,1.625,1.95,1.45,0.85,1.89,0.9,0.46,1.66
29,1029,Plot 29,29,1,29,1,0.35,1.56,1.67,1.34,0.87,1.09,0.51,0.29,1.6
30,1030,Plot 30,30,1,30,1,0.60,3.18,3.03,1.96,1.2,2.54,0.9,0.76,2.04
31,1031,Plot 31,31,1,31,1,0.58,0.71,1.54,1.24,0.6,1.42,0.7,0.39,1.6
32,1032,Plot 32,32,1,32,1,0.55,0.76,2.09,1.64,1.03,1.92,0.64,0.35,1.75
33,1033,extra,601,1,33,1,NA,2.36,2.72,2.01,1.25,2.87,0.4,0.3,2
34,1034,Plot 33,33,2,1,1,0.28,0.43,1.89,0.87,0.55,0.76,0.16,0.14,1.53
35,1035,Plot 34,34,2,2,1,0.68,3.01,2.61,1.5,1.38,2.5,1.21,0.62,2.31
36,1036,Plot 35,35,2,3,1,0.63,2.8,3.13,2.2,1.47,2.6,1.03,0.97,2.28
37,1037,Plot 36,36,2,4,1,0.15,0.05,0.16,0.25,0.18,0.46,0.12,0.03,1.39
38,1038,Plot 37,37,2,5,1,0.68,2.83,2.88,1.43,1.1,2.45,1.12,0.7,2.65
39,1039,Plot 38,38,2,6,1,0.48,1.97,2.16,0.88,0.41,0.68,0.66,0.4,2.74
40,1040,Plot 39,39,2,7,1,0.35,1.96,2.42,1.46,1.1,2.39,1.24,0.85,2.29
41,1041,Plot 40,40,2,8,1,0.58,2.9,2.16,1.47,0.76,3.28,1.42,0.26,NA
42,1042,Plot 41,41,2,9,1,0.50,1.46,1.6,1.45,1.02,1.6,0.77,0.5,2.17
43,1043,Plot 42,42,2,10,1,0.70,1.76,2.2,1.32,1.16,2.24,1.54,1.44,3.6
44,1044,Plot 43,43,2,11,1,0.55,1.66,1.765,1.12,0.75,1.67,0.89,0.63,1.88
45,1045,Plot 44,44,2,12,1,0.58,2.55,1.13,1,0.5,1.82,1.16,0.54,3.24
46,1046,Plot 45,45,2,13,1,0.48,1.05,1.91,0.94,0.7,1.05,0.52,0.12,3.96
47,1047,Plot 46,46,2,14,1,0.75,2.71,1.31,1.78,1.1,3.08,1.33,0.88,2.08
48,1048,Plot 47,47,2,15,1,0.45,1.34,3.12,1.15,0.85,1.48,0.78,0.3,1.75
49,1049,Plot 48,48,2,16,1,0.48,0.63,1.2,0.64,0.55,0.75,0.39,0.4,1.55
50,1050,Plot 49,49,2,17,1,0.43,1.02,1.11,1.1,0.83,1.38,0.52,0.63,2.16
51,1051,Plot 50,50,2,18,1,0.60,0.51,0.99,0.67,0.57,0.97,0.25,0.025,1.43
52,1052,Plot 51,51,2,19,1,0.40,0.6,0.72,0.6,0.43,1.42,1.1,0.27,3.7
53,1053,Plot 52,52,2,20,1,0.40,1.42,2.28,1.54,1.4,3.26,1.58,1.38,4.04
54,1054,Plot 53,53,2,21,1,0.50,2.44,1.61,1.02,0.93,2.28,1.23,0.82,2.29
55,1055,Plot 54,54,2,22,1,0.55,2.12,2.48,1.73,1.21,2.51,0.99,0.755,2.32
56,1056,Plot 55,55,2,23,1,0.43,0.43,1.27,0.68,0.2,0.4,0.52,0.93,2.68
57,1057,Plot 56,56,2,24,1,0.90,3.08,2.57,1.55,1.32,2.44,1.07,0.58,2.39
58,1058,Plot 57,57,2,25,1,0.40,0.8,1.66,1.1,0.77,1.83,0.37,0.22,1.66
