Consecutive,acc,acc_num,plant_num,rep,height_2019,width_2019,hxw_2019,height_2020,width_2020,hxw_2020
1,1_10B-75A-,1,1,1,80,49,3920,50,50,2500
2,1_10B-75A-,1,2,1,69,45,3105,40,40.5,1620
3,1_10B-75A-,1,3,1,65,50,3250,45,40,1800
4,1_10B-75A-,1,4,1,84,70,5880,46,60,2760
5,1_10B-75A-,1,5,1,75,42,3150,40,35,1400
6,1_10B-75A-,1,6,1,68,74,5032,40,60,2400
7,4_10D-77A-14,4,1,1,64,46,2944,40,30,1200
8,4_10D-77A-14,4,2,1,83,77,6391,44,50,2200
9,4_10D-77A-14,4,3,1,84,86,7224,50,60,3000
10,4_10D-77A-14,4,4,1,62,78,4836,40,50,2000
11,4_10D-77A-14,4,5,1,79,68,5372,35,40,1400
12,4_10D-77A-14,4,6,1,74,94,6956,40,40,1600
13,5_10D-77A-11,5,1,1,22,45,990,20,35,700
14,5_10D-77A-11,5,2,1,61,65,3965,37,35,1295
15,5_10D-77A-11,5,3,1,NA,NA,NA,NA,NA,NA
16,5_10D-77A-11,5,4,1,7,6,42,8,10,80
17,5_10D-77A-11,5,5,1,22,24,528,14,20,280
18,5_10D-77A-11,5,6,1,NA,NA,NA,NA,NA,NA
19,6_10D-77A-12,6,1,1,69,35,2415,35,30,1050
20,6_10D-77A-12,6,2,1,48,35,1680,30,30,900
21,6_10D-77A-12,6,3,1,71,68,4828,40,30,1200
22,6_10D-77A-12,6,4,1,68,91,6188,38,50,1900
23,6_10D-77A-12,6,5,1,71,75,5325,40,40,1600
24,6_10D-77A-12,6,6,1,NA,NA,NA,NA,NA,NA
25,7_10E-78A-1,7,1,1,76,60,4560,25,35,875
26,7_10E-78A-1,7,2,1,64,56,3584,40,35,1400
27,7_10E-78A-1,7,3,1,63,79,4977,44,35,1540
28,7_10E-78A-1,7,4,1,78,112,8736,40,50,2000
29,7_10E-78A-1,7,5,1,85,75,6375,40,35,1400
30,7_10E-78A-1,7,6,1,78,72,5616,40,40,1600
31,9_11F-86A-2,9,1,1,77,132,10164,40,60,2400
32,9_11F-86A-2,9,2,1,75,71,5325,25,50,1250
33,9_11F-86A-2,9,3,1,76,77,5852,40,45,1800
34,9_11F-86A-2,9,4,1,77,58,4466,30,30,900
35,9_11F-86A-2,9,5,1,74,85,6290,40,50,2000
36,9_11F-86A-2,9,6,1,NA,NA,NA,NA,NA,NA
37,12_11B-82A-10,12,1,1,67,101,6767,50,50,2500
38,12_11B-82A-10,12,2,1,66,59,3894,35,45,1575
39,12_11B-82A-10,12,3,1,63,57,3591,30,50,1500
40,12_11B-82A-10,12,4,1,70,75,5250,40,40,1600
41,12_11B-82A-10,12,5,1,54,55,2970,40,50,2000
42,12_11B-82A-10,12,6,1,67,33,2211,40,35,1400
43,13_11B-82A-18,13,1,1,77,67,5159,25,30,750
44,13_11B-82A-18,13,2,1,72,58,4176,40,50,2000
45,13_11B-82A-18,13,3,1,80,72,5760,40,50,2000
46,13_11B-82A-18,13,4,1,71,107,7597,40,60,2400
47,13_11B-82A-18,13,5,1,82,43,3526,15,20,300
48,13_11B-82A-18,13,6,1,75,55,4125,36,50,1800
49,14_11F-86A-11,14,1,1,77,114,8778,50,70,3500
50,14_11F-86A-11,14,2,1,62,77,4774,45,50,2250
51,14_11F-86A-11,14,3,1,70,30,2100,50,30,1500
52,14_11F-86A-11,14,4,1,45,71,3195,40,40,1600
53,14_11F-86A-11,14,5,1,86,91,7826,40,60,2400
54,14_11F-86A-11,14,6,1,55,47,2585,25,25,625
55,15_13A-95A-1,15,1,1,64,66,4224,37,60,2220
56,15_13A-95A-1,15,2,1,70,52,3640,42,60,2520
57,15_13A-95A-1,15,3,1,61,34,2074,30,30,900
58,15_13A-95A-1,15,4,1,61,62,3782,40,40,1600
59,15_13A-95A-1,15,5,1,77,78,6006,30,50,1500
60,15_13A-95A-1,15,6,1,76,67,5092,50,70,3500
61,16_13C-96A-1,16,1,1,79,78,6162,40,40,1600
62,16_13C-96A-1,16,2,1,64,70,4480,45,50,2250
63,16_13C-96A-1,16,3,1,64,77,4928,45,40,1800
64,16_13C-96A-1,16,4,1,59,80,4720,35,55,1925
65,16_13C-96A-1,16,5,1,79,108,8532,45,40,1800
66,16_13C-96A-1,16,6,1,73,125,9125,50,70,3500
67,17_13D-97A-1,17,1,1,81,78,6318,50,60,3000
68,17_13D-97A-1,17,2,1,78,114,8892,46,60,2760
69,17_13D-97A-1,17,3,1,67,58,3886,30,50,1500
70,17_13D-97A-1,17,4,1,76,72,5472,50,40,2000
71,17_13D-97A-1,17,5,1,71,101,7171,40,25,1000
72,17_13D-97A-1,17,6,1,72,97,6984,50,70,3500
73,18_13D-97A-2,18,1,1,58,131,7598,40,60,2400
74,18_13D-97A-2,18,2,1,NA,NA,NA,NA,NA,NA
75,18_13D-97A-2,18,3,1,NA,NA,NA,NA,NA,NA
76,18_13D-97A-2,18,4,1,67,68,4556,40,55,2200
77,18_13D-97A-2,18,5,1,69,91,6279,35,70,2450
78,18_13D-97A-2,18,6,1,NA,NA,NA,NA,NA,NA
79,19_13F-99A-2,19,1,1,67,108,7236,40,60,2400
80,19_13F-99A-2,19,2,1,67,62,4154,40,50,2000
81,19_13F-99A-2,19,3,1,59,50,2950,30,40,1200
82,19_13F-99A-2,19,4,1,60,85,5100,45,50,2250
83,19_13F-99A-2,19,5,1,84,75,6300,45,50,2250
84,19_13F-99A-2,19,6,1,84,97,8148,40,50,2000
85,20_14C-104A-8,20,1,1,56,44,2464,40,45,1800
86,20_14C-104A-8,20,2,1,86,45,3870,50,50,2500
87,20_14C-104A-8,20,3,1,79,62,4898,40,50,2000
88,20_14C-104A-8,20,4,1,22,6,132,40,45,1800
89,20_14C-104A-8,20,5,1,65,50,3250,46,30,1380
90,20_14C-104A-8,20,6,1,79,55,4345,50,50,2500
91,22_14K-107A-2,22,1,1,79,120,9480,50,50,2500
92,22_14K-107A-2,22,2,1,75,83,6225,40,30,1200
93,22_14K-107A-2,22,3,1,84,69,5796,40,40,1600
94,22_14K-107A-2,22,4,1,78,66,5148,55,70,3850
95,22_14K-107A-2,22,5,1,84,110,9240,40,50,2000
96,22_14K-107A-2,22,6,1,75,75,5625,50,50,2500
97,23_15I-114A-1,23,1,1,65,71,4615,30,30,900
98,23_15I-114A-1,23,2,1,36,21,756,20,29,580
99,23_15I-114A-1,23,3,1,66,65,4290,40,40,1600
100,23_15I-114A-1,23,4,1,60,80,4800,40,40,1600
101,23_15I-114A-1,23,5,1,63,44,2772,35,40,1400
102,23_15I-114A-1,23,6,1,60,45,2700,30,30,900
103,24_15A-108A-1,24,1,1,54,108,5832,30,40,1200
104,24_15A-108A-1,24,2,1,62,115,7130,30,40,1200
105,24_15A-108A-1,24,3,1,64,65,4160,20,30,600
106,24_15A-108A-1,24,4,1,NA,NA,NA,NA,NA,NA
107,24_15A-108A-1,24,5,1,NA,NA,NA,30,30,900
108,24_15A-108A-1,24,6,1,73,105,7665,30,50,1500
109,25_15A-108A-9,25,1,1,91,101,9191,45,50,2250
